hopeless/not good,行けない/いけない
minced meat/ground meat,ひき肉/挽肉/挽き肉/ひきにく
unmanageable/impossible,困った/こまった
problematic/troublesome,不味い/まずい
I'm beaten/I give up,参った/まいった
experience/Experience,経験/けいけん
rebellious/defiant,反抗的/はんこうてき
to flatter/to sweet-talk,煽てる/おだてる
to refer to (someone) without a title suffix,呼び捨てにする/よびすてにする
photo book (esp. one featuring photos of female celebrities - models)/photobook,写真集/しゃしんしゅう
left-handedness/left-handed person,左利き/左利/ひだりきき
errand/mission,使い/遣い/つかい
assortment/product lineup,品揃え/品ぞろえ/しなぞろえ
railway crossing/railroad crossing,踏切/踏切り/踏み切り/踏み切/ふみきり
care-taking/house-sitting,留守番/るすばん
eating with one's fingers/snitching food,つまみ食い/摘まみ食い/摘み食い/撮み食い/つまみぐい
saying something (to someone)/greeting,声かけ/声掛け/こえかけ
to accompany/to follow,ついて行く/付いていく/付いて行く/ついて行く/付いて行く/付いてゆく/ついていく
admirable/remarkable,偉い/豪い/えらい
