fool,愚か者/おろか者/おろかもの
surely/certainly,てっきり/てっきり
to be delighted/to be glad,喜ぶ/悦ぶ/歓ぶ/慶ぶ/欣ぶ/よろこぶ
one day/all day (long),一日/一日/一日/一日/１日/１日/１日/１日/いちにち
always/without exception,必ず/かならず
cruel/merciless,惨い/酷い/むごい
treasure/treasured item,宝物/宝もの/宝物/たからもの
self-important/important-looking,偉そう/えらそう
not quite (right)/not very good,今一/今いち/いまいち
suspension system (of a vehicle)/undercarriage,足回り/足廻り/あしまわり
to brace one's legs/to straddle,踏ん張る/踏んばる/ふんばる
hill road,坂道/さかみち
(public) park/Park,公園/こうえん
road/highway,道路/どうろ
scene of an accident/crash site,事故現場/じこげんば
disqualification/elimination,失格/しっかく
mother/Mother,母親/ははおや
thanks/gratitude,感謝/かんしゃ
conversation/Conversation,会話/かいわ
new car,新車/しんしゃ
used car/secondhand car,中古車/ちゅうこしゃ
to fit into/to fall into a trap,嵌まる/填まる/嵌る/填る/はまる
plan/scheme,目論見/目論み/もくろみ
successfully/fairly,まんまと/まんまと
to threaten/to menace,脅す/威す/嚇す/おどす
(not) ever/(not) at all,金輪際/こんりんざい
drop of water/polka dots,水玉/みずたま
three wheeled vehicle (tricycle - motorcycle - etc.)/three wheeler,三輪車/さんりんしゃ
