guts/bowels,腸/腸/腸/ちょう
to one's heart's content/as much as one wants,思いっきり/思いっ切り/おもいっきり
to circulate/to flow (liquid - time - etc.),流れる/ながれる
constipation/Constipation,便秘/べんぴ
third day of the month/three days,三日/３日/みっか
circle/entirety,丸/円/まる
terrible/dreadful,恐ろしい/怖ろしい/おそろしい
kapow/bang,パンパン/パンパン
case/situation,場合/ばあい
a quarrel/argument,言い争い/言争い/いいあらそい
to lose/to miss (a change - opportunity),失う/喪う/うしなう
calmness/composure,冷静/れいせい
to create/to bring forth,生み出す/生みだす/産み出す/産みだす/うみ出す/うみだす
politics/government,政治/せいじ
decomposition/putrefaction,腐敗/ふはい
of no avail/useless,役に立たない/役にたたない/やくに立たない/役に立た無い/やくにたたない
chafing/grinding (e.g. teeth),キリキリ/キリキリ
weeping/sobbing,しくしく/しくしく
difficult/hard,難しい/難しい/六借しい/六借しい/六ヶ敷い/六ヶ敷い/むずかしい
abdomen,下腹部/かふくぶ
navel/belly button,臍/臍/𦜝/𦜝/へそ
all/completely,すっかり/すっかり
refreshingly/with a feeling of relief,すっきり/すっきり
to get better/to get well,治る/なおる
appendicitis,盲腸/もうちょう
considerably/greatly,大分/大分/だいぶ
interrupting a game/time out,たんま/たんま
ambulance/Ambulance,救急車/きゅうきゅうしゃ
unwell/in a bad state,具合が悪い/ぐあいがわるい
to hold on to/to grasp,捕まる/掴まる/捉まる/摑まる/つかまる
wrong/not good,行けない/いけない
on your marks/get ready,位置について/いちについて
(foot) race/sprint,駆けっこ/かけっこ
condition/state,具合/工合/具合/工合/具合い/工合い/ぐあい
seed leaves (of a dicot)/cotyledons,双葉/二葉/嫩/ふたば
to pass (time)/to spend,過ごす/過す/すごす
one day/all day (long),一日/一日/一日/一日/１日/１日/１日/１日/いちにち
lovely/wonderful,素敵/素適/素的/すてき
