head-butting/head-butt,頭突き/ずつき
pardon/forgiveness,勘弁/かんべん
to succeed/to relieve,替わる/代わる/換わる/替る/代る/換る/かわる
discipline/training,躾/しつけ
to be seen/to be in sight,見える/みえる
to be caught in/to be stuck in,引っかかる/引っ掛かる/引っ掛る/ひっかかる
to envy/to be envious (of),やっかむ/やっかむ
express home delivery service/express home delivery parcel (box - etc.),宅配便/たくはいびん
delivery,配達/配達/はいたつ
hand/hands,お手手/お手々/お手て/御手手/おてて
how many/how old,幾つ/いくつ
(wrestling) ring/forum (e.g. for discussion),土俵/どひょう
topic/subject,話題/わだい
the world of sumo,角界/角界/かくかい
heart/guts,心臓/しんぞう
motionlessly (e.g. stand - wait)/(be) still,凝乎と/凝乎と/じっと
poverty-stricken/destitute,貧乏/貧之/びんぼう
abduction/kidnapping,誘拐/ゆうかい
bullying/teasing,虐め/苛め/いじめ
cruel/heartless,酷い/非道い/ひどい
poor/pitiable,可哀想/可哀相/可哀そう/可愛そう/かわいそう
impudent/brazen,太々しい/太太しい/ふてぶてしい
to bear/to stand,耐える/堪える/たえる
sweet (voice - fragrance - etc.),甘やか/あまやか
to put on (one's head)/to wear,被る/被る/冠る/冠る/かぶる
reflection/reconsideration,反省/はんせい
to apologize/to apologise,謝る/あやまる
arms/weapon,兵器/へいき
cowardly/craven,卑怯/ひきょう
infiltration/sneaking in,潜入/せんにゅう
base (military - expedition - etc.),基地/きち
gymnastics/physical exercises,体操/たいそう
to tell/to inform,告げる/つげる
willy/penis,ポコチン/ポコチン
