robber/mugger,強盗/ごうとう
something/something or other,何とか/なんとか
crime/sin,罪/つみ
one class/one set,一組/１組/ひと組/一組/１組/ひとくみ
to remain/to be left over,余る/あまる
to make a mistake (in)/to commit an error (e.g. in calculation),間違える/まちがえる
anyhow/in any case,どうせ/どうせ
thin rice porridge/watery cooked rice,お粥/御粥/おかゆ
western style,西洋風/せいようふう
broom/Broom,箒/帚/ほうき
to throw away/to cast away,捨てる/棄てる/すてる
crude/rough,粗末/そまつ
reflection/reconsideration,反省/はんせい
duty/responsibility (incl. supervision of staff),責任/せきにん
to spill/to fall out of,零れる/溢れる/こぼれる
to strike against/to collide with,打つかる/ぶつかる
unacceptable/no good,成ってない/成っていない/なってない
as before/as ever,元通り/元どおり/もとどおり
mixture of boiled beans - agar cubes - fruit pieces and syrup,みつ豆/蜜豆/みつまめ
properly/accurately,きちんと/きちんと
poor (at)/weak (in),苦手/にがて
being on duty/person on duty,当番/とうばん
provision of lunch (e.g. at office - school - etc.)/providing a meal,給食/きゅうしょく
