sowing seeds/planting seeds,種蒔き/種まき/種蒔/たねまき
scattering parched beans (to drive out evil spirits),豆まき/豆撒き/豆蒔き/まめまき
seed (e.g. of a plant)/pip,種/たね
one must constantly be on one's guard with .../one cannot be too careful of ...,油断も隙もない/油断も隙も無い/ゆだんもすきもない
to that degree/to that extent,それ程/其れ程/其程/それほど
carefree/optimistic,呑気/暢気/暖気/のん気/のんき
reserve/spare,予備/預備/よび
to borrow/to have a loan,借りる/かりる
staff room,職員室/しょくいんしつ
to be raised (e.g. child)/to be brought up,育つ/そだつ
nutrition/nourishment,栄養/営養/えいよう
dead leaf/dry leaves,枯葉/枯れ葉/かれは
humus/leaf mold,腐葉土/ふようど
to mix/to stir,混ぜる/交ぜる/雑ぜる/まぜる
common sense/good sense,常識/じょうしき
flower bed,花壇/花だん/かだん
earth/soil,土/地/地/つち
wooden spoon/ladle,杓文字/杓文字/しゃもじ
provision of lunch (e.g. at office - school - etc.)/providing a meal,給食/きゅうしょく
menu/bill of fare,献立/こんだて
Japanese (school) lunchroom/Japanese (school) cafeteria,給食室/きゅうしょくしつ
staff room,職員室/しょくいんしつ
to search for/to look for,探す/捜す/さがす
brat/kid,餓鬼/がき
to make noise/to make racket,騒ぐ/騷ぐ/さわぐ
adult/grown-up,大人/大人/おとな
manure/fertilizer,肥料/ひりょう
to plant/to seed,蒔く/まく
watering can/watering pot,如雨露/如雨露/如露/如露/じょうろ
caution/being careful,注意/ちゅうい
classroom/department,教室/きょうしつ
to turn back (e.g. half-way)/to return,戻る/もどる
houseroom,置き場所/おきばしょ
