payday,給料日/きゅうりょうび
to remain/to be left,残る/遺る/のこる
economising/saving,節約/せつやく
preliminary arrangements/spade work,下準備/したじゅんび
errand/mission,お使い/御使い/お遣い/御遣い/お使/御使/おつかい
easy/simple,手軽/てがる
selfish/egoist,我が儘/我儘/我がまま/我侭/我が侭/わがまま
parent/parents,親/祖/おや
greengrocer/fruit and vegetable shop,八百屋/やおや
showy/loud,派手/はで
cucumber,胡瓜/胡瓜/黄瓜/黄瓜/きゅうり
bean sprouts,萌やし/萌し/糵/蘖/もやし
this evening/tonight,今夜/こんや
day before yesterday,一昨日/一昨日/一昨日/おととい
full/in plenty,たっぷり/たっぷり
change/variation,変化/へんか
meagre/meager/scarce,乏しい/乏しい/とぼしい
omitting crucial steps/cutting corners,手抜き/手抜/てぬき
to restrict/to limit,限る/かぎる
estimate/budget,予算/よさん
to have a comeback for every remark/to be always ready with excuses,ああ言えばこう言う/ああいえばこういう
theory/reason,理屈/理窟/りくつ
wife/your wife,奥さん/おくさん
Japanese yam,山芋/山いも/やまいも
spirit/sprite,精/せい
to burn/to get fired up,燃える/もえる
master (of a house - shop - etc.)/husband,旦那/檀那/だんな
secret base/hideout,秘密基地/ひみつきち
mostly/ordinarily,大抵/大てい/たいてい
storefront/shopfront,店先/店さき/みせさき
hurriedly/in haste,急いで/いそいで
young/youthful,若い/わかい
education/schooling,教育/きょういく
onion,玉ねぎ/玉葱/葱頭/たまねぎ
state/appearance,格好/格好/恰好/恰好/かっこう
properly/reliably,確り/聢り/しっかり
delivery,配達/配達/はいたつ
to pick up/to find,拾う/ひろう
rate/ratio,割り/割/わり
to sell,売る/うる
out of stock/sold out,品切れ/しなぎれ
