going to work/leaving for work,出勤/しゅっきん
to be lucky/to be in luck,付いてる/付いている/ついてる
and yet/though,癖に/くせに
vexing/annoying,悔しい/口惜しい/悔やしい/口惜しい/くやしい
to grow/to cultivate,生やす/はやす
to finish/to make an end of,済ませる/すませる
incision/operation,切開/せっかい
cooked rice/meal,御飯/お飯/おまんま
deep (colour)/dark,濃い/こい
eyebrow,眉毛/まゆ毛/まゆげ
leaving out/omitting,抜き/ぬき
smoothly/swiftly,するする/するする
gloomy (e.g. mood)/depressing,鬱陶しい/鬱陶しい/うっとうしい
armpit/axilla,脇の下/わきの下/腋の下/わきのした
politeness/good manners,エチケット/エチケット
to shave,剃る/剃る/そる
courage/bravery,勇気/ゆうき
to protect/to guard,守る/護る/戍る/まもる
just like that/quite so,その通り/其の通り/そのとおり
companion/partner,相手/あいて
to go mad/to lose one's mind,狂う/くるう
the two/both,両方とも/両方共/りょうほうとも
to shave,剃る/剃る/そる
kennel/dog house,犬小屋/いぬごや
gargling/rinsing one's mouth,嗽/漱/うがい
late/slowly,遅く/おそく
promptly/immediately,さっさ/さっさ
hot water/hot bath,お湯/御湯/おゆ
true character/true form,正体/しょうたい
to see through (a plot - lie - etc.)/to penetrate into,見破る/看破る/みやぶる
mischief/prank,悪戯/悪戯/惡戲/惡戲/いたずら
again/once more,又/亦/復/また
for a moment/for a minute,暫く/姑く/暫らく/須臾/しばらく
to bend/to curve,曲がる/曲る/まがる
to be possible to say/to be able to say,言える/云える/いえる
position/situation,立場/たちば
