bamboo grass/generally smaller species of running bamboo that do not shed their sheaths (e.g. Sasa spp.),笹/篠/小竹/ささ
at leisure/in a relaxed manner,のんびり/のんびり
daytime/during the day,昼間/昼間/ひるま
cleaning/sweeping,掃除/そうじ
recruitment/invitation,募集/ぼしゅう
variety of goods/number of articles,品数/しなかず
in drops/dripping,だらだら/だらだら
lint (as in a clothes dryer or a pocket),糸くず/糸屑/いとくず
bamboo,竹/たけ
bamboo grass,笹/篠/小竹/ささ
to increase/to multiply,増える/殖える/ふえる
to save up (money),貯める/ためる
clique/group,派/は
changing every day,日替わり/日替り/日変わり/日変り/ひがわり
hatchet/axe,薪割り/薪割/まきわり
watermelon splitting (game),スイカ割り/西瓜割り/スイカわり
feeble joke/bad pun,駄洒落/駄じゃれ/駄酒落/だじゃれ
if (it) doesn't exist/if there is no ...,無ければ/なければ
compatibility/coexistence,両立/りょうりつ
job interview,面接/めんせつ
to receive/to get,受ける/請ける/承ける/享ける/うける
badger,穴熊/穴熊/貛/貛/あなぐま
charge/duty,係/係り/かかり
to dig/to excavate,掘る/ほる
triumph/prosperity,得意/とくい
giant tortoise,象亀/ぞうがめ
to put someone to work/to make someone work,働かせる/はたらかせる
anteater/Anteater,蟻食い/蟻食/蟻喰い/蟻喰/食蟻獣/ありくい
threat/intimidation,威嚇/いかく
at last/finally,漸と/やっと
the front/honesty,真面/正面/まとも
while/during,乍ら/ながら
condition/term,条件/じょうけん
hope/wish,希望/冀望/きぼう
at least/at most,せめて/せめて
lateness/tardiness,遅刻/ちこく
case/situation,場合/ばあい
full of/brimming with,満々/満満/まんまん
by the way/in this connection,因みに/因に/ちなみに
announcement/publication,発表/はっぴょう
(examination) failure/rejection,不合格/ふごうかく
to be surprised/to be astonished,驚く/愕く/駭く/おどろく
after all/in the end,結局/けっきょく
still/as yet,未だ/未だ/まだ
live-in (e.g. job),住み込み/すみこみ
to carry/to transport,運ぶ/はこぶ
success/passing (e.g. exam),合格/ごうかく
