finding employment/getting a job,就職/しゅうしょく
the other day/a few days ago,先日/せんじつ
home delivery (of food)/outside catering,出前/でまえ
job hunting/job searching,仕事探し/しごとさがし
experienced person/person who has had a particular experience,経験者/けいけんしゃ
warm welcome,大歓迎/だいかんげい
violent/furious,激しい/劇しい/烈しい/はげしい
heavy labor/heavy labour,重労働/じゅうろうどう
inexperienced person,未経験者/みけいけんしゃ
consultation/discussion,相談/そうだん
service/duty,勤務/きんむ
full-time employment/Full-time,常勤/じょうきん
one large animal (horses - cattle - etc.)/head (of cattle),一頭/１頭/いっとう
part-time work,非常勤/ひじょうきん
to advance/to go forward,進む/すすむ
Asian black bear/moon bear,月の輪熊/月輪熊/つきのわぐま
secrecy/confidentiality,内緒/内証/内所/内証/ないしょ
to be shy/to be bashful,照れる/てれる
more and more/all the more,愈/愈々/弥々/愈愈/弥弥/いよいよ
thump-thump/bang-bang,ドキドキ/ドキドキ
to change/to alter,改める/検める/革める/あらためる
solder/pewter,半田/盤陀/はんだ
nature/natural,自然/しぜん
appearance/air,体/態/てい
big catch (fishing)/good haul,大漁/大漁/たいりょう
to pull/to draw,引っ張る/引っぱる/引張る/ひっぱる
body double/double,陰武者/影武者/かげむしゃ
integral/integrated,一体的/いったいてき
kindergarten pupil/kindergartener,園児/えんじ
(playground) slide/(ship) launching platform,滑り台/滑台/すべり台/すべりだい
to glide/to slide (e.g. on skis),滑る/辷る/すべる
to roll/to tumble,転がる/ころがる
patience/endurance,辛抱/辛棒/しんぼう
sleeping like a log/(being) fast asleep (bombed - crashed),爆睡/ばくすい
closing of a park (e.g. theme park - botanical garden - etc.),閉園/へいえん
visit to a park (kindergarten - zoo - etc.)/coming to a park,来園/らいえん
acquaintance,知り合い/知合い/知りあい/知り合/知合/しりあい
on the way/en route,途中/とちゅう
to be exhausted/to be worn out,バテる/バテる
relatively/comparatively,割と/割りと/わりと
impudent/shameless,図々しい/図図しい/ずうずうしい
for now/for the time being,一先ず/一先/一まず/ひと先ず/一と先ず/ひとまず
gecko/house lizard,守宮/家守/守宮/やもり
totteringly/with tottering steps,よちよち/よちよち
nursemaid/nanny,子守/子守り/こもり
thrust/charge,突っ込み/突っこみ/突込み/つっこみ
