courtyard/quadrangle,中庭/なかにわ
grand ultimate fist/Tai Chi Chuan,太極拳/たいきょくけん
grandfather (may be used after name as honorific)/male senior-citizen (may be used after name as honorific),爺ちゃん/祖父ちゃん/じいちゃん
Chinese martial arts/kung fu,拳法/けんぽう
master/expert,達人/たつじん
to put to bed/to lay down lengthwise,寝かせる/ねかせる
long ago/already,疾っくに/とっくに
good grief,全くもう/まったくもう
lack of physical exercise/insufficient exercise,運動不足/うんどうぶそく
to rub/to crumple,揉む/もむ
to stick into (of something with a sharp point)/to prick,刺さる/ささる
merchant's home (esp. used by apprentices - etc.)/(your) rental home,お店/御店/おたな
particularly/especially,特に/とくに
to compare/to make a comparison,比べる/較べる/競べる/くらべる
receiving/reception,頂戴/頂だい/頂載/ちょうだい
low dining table/tea table,ちゃぶ台/卓袱台/チャブ台/ちゃぶだい
homework/assignment,宿題/しゅくだい
siblings/brothers and sisters,兄弟/兄弟/きょうだい
to open/to undo,開く/ひらく
rich (taste)/full-bodied (flavour - flavor),まったり/まったり
to decorate/to ornament,飾る/餝る/錺る/荘る/かざる
to recommend/to endorse (e.g. a candidate),推す/おす
this store,当店/とうてん
catalog/catalogue,品書き/品書/しながき
first class plus/extra special,特上/とくじょう
steamed seasoned fish paste - usu. in a semicylindrical shape on a strip of wood and sliced to go in soup - etc.,蒲鉾/かまぼこ
set meal/special (of the day),定食/ていしょく
favourite dish (favorite)/favourite food,好物/こうぶつ
raw fish/uncooked fish,生魚/生肴/生魚/なまざかな
easily mixed up (e.g. similar words)/easily mistaken,紛らわしい/まぎらわしい
center/centre,中心/ちゅうしん
belly/abdomen,お腹/御腹/お中/御中/おなか
cooking/cookery,料理/りょうり
1 -000 -000 -000 -000/one trillion,１兆/一兆/いっちょう
unwillingly/grudgingly,嫌々/嫌嫌/厭々/厭厭/いやいや
Japanese style/light wind,和風/わふう
the four seasons,四季/しき
weave/weaving,織り/織/おり
sale/selling,売り/うり
fresh,新鮮/しんせん
seafood/products of the sea,海の幸/うみのさち
shopkeeper/storekeeper,店主/てんしゅ
obsession/fixation,拘り/こだわり
middle/centre,真ん中/まん中/まんなか
water tank/cistern,水槽/すいそう
fish pen/holding pond,生け簀/生簀/生けす/いけす
really (seem - appear - etc.)/truly,然も/さも
in name only/figurehead,名前だけ/なまえだけ
(town) market/(street) market,市場/市庭/いちば
stocking/buying up,仕入れ/仕入/しいれ
to turn/to revolve,回る/廻る/まわる
master (of a house - shop - etc.)/husband,旦那/檀那/だんな
that's not the case,そのまんまだね
depending on/as soon as,次第/しだい
as (i.e. in the role of)/for (i.e. from the viewpoint of),として/として
store interior/inside of a shop,店内/てんない
grass/weed,草/艸/くさ
grooming oneself (esp. animals)/mutual grooming (e.g. monkeys),毛づくろい/毛繕い/けづくろい
freely/at liberty,自由に/じゆうに
moreover/furthermore,然も/而も/併も/しかも
saltiness,塩気/塩け/鹹気/しおけ
lovely/wonderful,素敵/素適/素的/すてき
constant/invariant,変わらない/かわらない
