everyone/everybody,皆/皆んな/皆/みんな
I/me,僕/ぼく
I'm sorry to have kept you waiting,お待ちどおさま/お待ち遠様/御待ち遠様/おまちどおさま
to bloom/to flower,咲く/さく
snack (to have with a drink)/side dish,お摘み/お摘まみ/お抓み/お撮み/おつまみ
emotion/feeling,情緒/情緒/じょうちょ
(flower) petal,花びら/花弁/花弁/花瓣/はなびら
going out to shop/going shopping,買い出し/買出し/かいだし
lazy person/lazy fellow,怠け者/なまけ者/怠けもの/懶け者/なまけもの
dry snacks (e.g. crackers - nuts - dried squid - esp. to go with drinks),乾き物/かわきもの
close by/right there,すぐそこ/すぐそこ
to fall (e.g. blossoms - leaves)/to scatter,散る/ちる
fleeting/transient,儚い/果敢ない/果敢無い/果無い/果ない/果敢い/はかない
as a test/as an experiment,試しに/ためしに
abdomen/belly,腹/肚/はら
to fall (over - down)/to collapse,倒れる/たおれる
mimicry/imitation (of someone - something),物真似/物まね/ものまね
unsatisfied/unsatisfactory,物足りない/ものたりない
all/whole,挙げて/あげて
to place on (something)/to give (someone) a ride,乗せる/載せる/のせる
to get drunk/to become intoxicated,酔う/酔う/よう
deep sleep/sound sleep,熟睡/じゅくすい
young/youthful,若い/わかい
to entangle/to entwine,絡む/搦む/からむ
circumference/girth,周り/まわり
birthmark/nevus,痣/黶/あざ
to strike/to hit,殴る/擲る/撲る/なぐる
bothersome/tiresome,面倒くさい/面倒くさい/面倒臭い/面倒臭い/めんどくさい
whole life/a lifetime,一生/いっしょう
just the two of them,二人きり/二人切り/２人きり/２人切り/ふたりきり
thus/in this way,斯うして/こうして
association/socializing,付き合い/つき合い/付合い/つきあい
while/during (the time when),間に/あいだに
every year/yearly,毎年/毎年/まいとし
drinking habits/drunken behavior,酒癖/酒癖/酒癖/さけぐせ
(marriage) proposal,プロポーズ/プロポーズ
minor cosmetic surgery/nip and tuck,プチ整形/プチせいけい
reverse/opposite,逆/ぎゃく
nata de coco/coconut gel,ナタデココ/ナタデココ
to collect/to put (it all) together,纏める/まとめる
next time (occasion),次回/じかい
on-the-spot filming or photography/live filming (as opposed to animation),実写/じっしゃ
edition/version,版/版/はん
seeing off/sending off,送り/おくり
