T junction,Ｔ字路/ティーじろ
to be called (a name)/to be referred to (as),呼ばれる/よばれる
crossing/intersection,交差点/交叉点/こうさてん
laws and ordinances/acts (of parliament - congress - etc.),法令/ほうれい
official name/formal name,正式名称/せいしきめいしょう
pre-washed rice/wash-free rice,無洗米/むせんまい
manufacturing method/recipe,製法/せいほう
manufacturing/processing,加工/かこう
method/process,方法/ほうほう
workplace/construction site,仕事場/しごとば
matter/affair,件/けん
to convey/to report,伝える/つたえる
(a) little/somewhat,何だか/なんだか
daughter,娘さん/むすめさん
parents' observation day (at school)/parents' visiting day,参観日/さんかんび
how many people,何名/なんめい
to perform/to do,行う/行なう/おこなう
figure/form,姿/すがた
to let fly/to make fly,飛ばす/とばす
no good/not serving its purpose,駄目/だめ
wrong/bad,不可/ふか
entry (e.g. library - school - museum)/entering,入館/にゅうかん
house/hall,館/かん
please refrain (from),ご遠慮ください/ご遠慮下さい/御遠慮下さい/御遠慮ください/ごえんりょください
stealthily/secretly,こっそり/こっそり
to be conspicuous/to stand out,目立つ/目だつ/めだつ
impressiveness/impact,迫力/はくりょく
to be troubled/to have difficulty,困る/こまる
stuffing/mounting,剥製/はく製/はくせい
to move/to stir,動く/うごく
to scold/to chide,叱る/𠮟る/呵る/しかる
to leak out (a secret)/to be exposed (a lie - improper behaviour - etc.),ばれる/ばれる
to be late/to be delayed,遅れる/後れる/おくれる
envious/jealous,羨ましい/うらやましい
to notice/to recognize,気づく/気付く/きづく
true seal (animal)/earless seal,海豹/海豹/あざらし
to be afraid of/to fear,怖がる/恐がる/こわがる
practicality/practical,実際/じっさい
genuine article/real thing,本物/ほんもの
wildness (plants - animals - etc.)/uncouth,野性/やせい
to wake up (someone; by calling out)/to awaken,呼び覚ます/呼びさます/呼覚ます/よびさます
carpet/rug,絨毯/絨緞/絨氈/じゅうたん
to trick/to cheat,騙す/瞞す/だます
that sort of/that kind of,あんな/あんな
state/condition,状態/情態/じょうたい
respect/esteem,尊敬/そんけい
acrobatics,曲芸/きょくげい
motor nerves/reflexes,運動神経/うんどうしんけい
irresponsible/perfunctory,いい加減/好い加減/好加減/いいかげん
to turn back (e.g. half-way)/to return,戻る/もどる
furthermore/again,更に/さらに
slovenly (appearance - work - etc.)/sloppy,だらし無い/だらしない
very popular/highly favoured,大人気/だいにんき
like I saidI told you already,だから/だから
even if/even though,ても/ても
