trouble/troubles,悩み/なやみ
meat and potato stew,肉じゃが/肉ジャガ/にくじゃが
cold/indifferent,つれない/つれない
still/even now,未だに/今だに/いまだに
natural posture (esp. in judo)/natural stance,自然体/しぜんたい
copybook/model,手本/てほん
mimetic muscles,表情筋/ひょうじょうきん
sea otter,海獺/猟虎/海猟/獺虎/らっこ
to divide/to cut,割る/わる
stone/gem,石/いし
to strike/to clap,叩く/敲く/たたく
program (e.g. theatre - theater),出し物/演し物/出物/だしもの
habit/behavior,習性/しゅうせい
limit/bound,限界/げんかい
to get tired of/to lose interest in,飽きる/厭きる/倦きる/倦る/あきる
teary eyes,涙目/なみだめ
anteater,蟻食い/蟻食/蟻喰い/蟻喰/食蟻獣/ありくい
small/fine,細かい/こまかい
almost/roughly,略/粗/ほぼ
passing through without stopping/passing by,素通り/すどおり
passing through without stopping/passing by,素通り/すどおり
deliberately/carefully,じっくり/じっくり
line/queue,行列/ぎょうれつ
impressions/thoughts,感想/かんそう
plain/simple,地味/じみ
robber/Donkey,ロバ/ロバ
camel,駱駝/らくだ
art/craft,芸/藝/げい
eyelashes,まつ毛/睫毛/睫/まつげ
tapir/mo,獏/貘/ばく
mermaid/merman,人魚/にんぎょ
preface/introduction,前振り/前ふり/まえふり
to be silent/to say nothing,黙る/だまる
better/preferable,増し/まし
maybe/could be,かもね/かもね
to hang from/to dangle,ぶら下がる/ぶらさがる
arm/skill,腕/うで
to be worried/to be troubled,悩む/なやむ
as a matter of fact/by the way,実は/じつは
everlasting/inexhaustible,尽きない/つきない
studies/schoolwork,学業/がくぎょう
burnable garbage/burnable waste,燃えるゴミ/燃えるごみ/もえるゴミ
each time/every time,度に/度に/たびに
confession/acknowledgement,告白/こくはく
to/for,に取って/にとって
steamed bun with meat filling,肉饅/肉まん/にくまん
parking lot/car park,駐車場/ちゅうしゃじょう
rumour/rumor,噂/うわさ
minor cosmetic surgery/nip and tuck,プチ整形/プチせいけい
