trembling/getting nervous,わくわく/わくわく
food poisoning,食あたり/食中り/しょくあたり
such a thing/something like that,そんなん/そんなん
training institute,教習所/教習所/きょうしゅうじょ
to go by/to go past,通る/徹る/透る/とおる
license/permit,免許/めんきょ
to invite/to ask (someone to do),誘う/誘う/さそう
beach/seashore,海辺/海べ/海邊/海辺/海邊/うみべ
diary/journal,日記/にっき
private/exclusive,非公開/ひこうかい
teacher/instructor,教官/きょうかん
severe/strict,厳しい/酷しい/きびしい
parallel parking,縦列駐車/じゅうれつちゅうしゃ
syringe/hypodermic needle,注射器/ちゅうしゃき
meeting up/gathering,集合/しゅうごう
knack/skill,骨/こつ
anyhow/in any case,どうせ/どうせ
slow/time-consuming,遅い/鈍い/晩い/遲い/おそい
bamboo (any grass of subfamily Bambusoideae)/middle (of a three-tier ranking system),竹/たけ
stepladder/steps,脚立/脚榻/きゃたつ
cabbage,キャベツ/キャベツ
departure,出発/しゅっぱつ
back seat (of a car)/rear seat,後部座席/こうぶざせき
subtle/delicate,微妙/びみょう
to lie down/to throw oneself down,寝っ転がる/寝っころがる/ねっころがる
departure (of a train - car - etc.)/starting,発車/はっしゃ
to that degree/to that extent,それ程/其れ程/其程/それほど
knack/skill,骨/こつ
abstract,抽象的/ちゅうしょうてき
to hang/to hang up,吊るす/吊す/つるす
increasingly/more and more,益々/増々/益益/増す増す/増増/益/ますます
to grow/to spring up,生える/はえる
driving skill/one's skill as a driver,運転技術/うんてんぎじゅつ
thank you for your hard work/I appreciate your efforts,ご苦労様/ご苦労さま/御苦労様/御苦労さま/ごくろうさま
about to start out/just about to leave or go out,お出かけ/お出掛け/御出掛け/おでかけ
belly/abdomen,お腹/御腹/お中/御中/おなか
to decrease (in size or number)/to diminish,減る/へる
I'm sorry/(it's) inexcusable,申し訳ありません/申しわけありません/もうしわけありません
this store,当店/とうてん
to think of/to hit upon,思いつく/思い付く/おもいつく
(turning) round and round/in circles,ぐるぐる/ぐるぐる
no problem/it doesn't matter,構いません/かまいません
to hear/to be told,承る/受け賜る/うけたまわる
delivery/transfer,受け渡し/受渡し/受渡/うけわたし
counter/window,窓口/まどぐち
to seize/to catch,掴む/摑む/攫む/把む/捉む/つかむ
come on/hurry up,其れ其れ/それそれ
imitating/copying,真似/まね
aimless,当てのない/あてのない
travel/trip,旅/たび
sharing with others what has been given to you/sharing a portion of the profit with others,おすそ分け/お裾分け/御裾分け/おすそわけ
beyond this point/from now on,この先/此の先/このさき
growth period (in children),育ち盛り/そだちざかり
dessert stomach/having room for dessert despite being full,別腹/べつばら
passenger seat/assistant driver's seat,助手席/じょしゅせき
discourtesy/impoliteness,失礼/失礼/失礼/しつれい
no problem/it doesn't matter,構わない/かまわない
to study (in depth)/to learn,学ぶ/學ぶ/まなぶ
that sort of/like that,ああいう/ああいう
all-you-can-eat/eating as much as one likes,食べ放題/たべほうだい
small car dealership/auto repair shop selling cars,車屋/くるまや
to become confused/to be flustered,慌てる/周章てる/あわてる
to close up (editing mark),ツメ/ツメ
to hang (something) on (something)/to throw on (clothes),引っ掛ける/引っかける/引っ懸ける/ひっかける
scandalous conduct,汚行/おこう
like/similar to,様な/ような
unreasonable request/asking for something unreasonable,無茶振り/むちゃぶり
faithful/devoted,忠実/ちゅうじつ
lower part/substructure,下部/かぶ
in order to (e.g. meet goal)/so that,様に/ように
stinginess/miserliness,ケチ/ケチ
