practical skill,実技/じつぎ
to drop/to lose,落とす/落す/おとす
driving school/Driver's education,自動車教習所/じどうしゃきょうしゅうじょ
outline/main points,大体/だいたい
small/fine,細かい/こまかい
(looking around) restlessly/(looking) all around,キョロキョロ/キョロキョロ
to become confused (disconcerted - disorganized - disorganised)/to be flustered,慌てる/周章てる/あわてる
to clasp/to grasp,握る/にぎる
flapping (of a flag - fan - etc.)/fluttering,ぱたぱた/ぱたぱた
even if/even though,たって/たって
to invite/to ask (someone to do),誘う/誘う/さそう
electric light,電灯/電燈/でんとう
to shoot dead/to bring down (an animal),射止める/いとめる
intently/single-mindedly,只管/一向/頓/ひたすら
adult/grown-up,大人/大人/おとな
to bring down (an animal - opponent - etc.)/to kill,仕留める/為留める/しとめる
very/considerably,中々/仲々/中中/なかなか
standard/routine,定番/ていばん
dull/uninteresting,詰らない/詰まらない/つまらない
under investigation/under consideration,検討中/けんとうちゅう
impressiveness/impact,迫力/はくりょく
to think of/to hit upon,思いつく/思い付く/おもいつく
work of art the creator has confidence in/work one is proud of,自信作/じしんさく
boil in water,水煮/みずに
furthermore/again,更に/さらに
cover/mantle,覆い/被い/蔽い/掩い/おおい
to hang over/to cover,被さる/かぶさる
direct from the farm/farm-fresh,産地直送/さんちちょくそう
already/too late,既に/既に/已に/已に/すでに
one's own convenience/one's way,勝手/かって
shell (of crab - tortoise - etc.)/carapace,甲羅/こうら
black sesame (seeds),黒ゴマ/くろゴマ
to wriggle/to squirm,蠢く/動めく/蠕く/うごめく
absurd/unreasonable,目茶苦茶/滅茶苦茶/めちゃくちゃ
in a lively way/vividly,生き生き/活き活き/いきいき
to wriggle/to squirm,蠢く/動めく/蠕く/うごめく
acting rashly/running wildly,暴走/ぼうそう
Bamboo shoot,タケノコ/タケノコ
to mince/to cut fine,刻む/きざむ
in/at,於ける/おける
sardine,鰯/鰮/いわし
season (e.g. fruit - fish)/in vogue,旬/しゅん
to be separated/to be apart,離れる/はなれる
ear/hearing,耳/みみ
to make/to produce,作る/造る/創る/つくる
shaved ice/Italian ice,かき氷/掻き氷/欠き氷/欠氷/カキ氷/かきごおり
iceberg/Iceberg,氷山/ひょうざん
new product,新商品/しんしょうひん
trial product/prototype model,試作品/しさくひん
very popular/highly favoured,大人気/だいにんき
to drop/to lose,落とす/落す/おとす
not less than/... and more,以上/已上/いじょう
prosperity/flourishing,繁盛/繁昌/蕃昌/繁盛/はんじょう
(deposit) passbook/bankbook,預金通帳/よきんつうちょう
in one go/all at once,まとめて/まとめて
next time (occasion),次回/じかい
seeing off/sending off,送り/おくり
