to aim at/to have an eye on,目指す/目差す/目ざす/めざす
feeling/mood,気分/きぶん
to long for/to yearn after,憧れる/憬れる/憧憬れる/あこがれる
to remove/to take off,外す/はずす
indecisiveness/shilly-shally,優柔不断/ゆうじゅうふだん
confident/assured,強気/つよき
envious/jealous,羨ましい/うらやましい
to expand/to swell (out),膨らむ/脹らむ/ふくらむ
bright golden yellow,山吹色/やまぶきいろ
confections/sweets,お菓子/御菓子/おかし
head (of a household)/proprietor (of a store),主人/主/しゅじん
not quite (right)/not very good,今一/今いち/いまいち
you could say that,そうかもしれない/そうかもしれない
(in the) neighbourhood/neighborhood,辺り/あたり
to come out/to fall out,抜ける/脱ける/ぬける
as ever/as usual,相変わらず/相変らず/あい変らず/あい変わらず/あいかわらず
pale/pallid,生っ白い/生っちろい/なまっちろい
guy/fellow,野郎/やろう
to burn/to roast,焼く/燬く/焚く/やく
tanning salon,日サロ/ひサロ
to take (someone) with one/to bring along,連れる/つれる
clearly/plainly,はっきり/はっきり
friend,友人/ゆうじん
special/particular,特別/とくべつ
short temper/quick temper,短気/たんき
ordinary/common,只/唯/徒/但/常/ただ
scary/frightening,怖い/恐い/こわい
(one's) older brother/young man,兄ちゃん/兄ちゃん/にいちゃん
plump/rotund,丸々/丸丸/まるまる
swallowing whole/swallowing without chewing,丸呑み/丸飲み/丸のみ/まるのみ
coconut,ヤシの実/椰子の実/ヤシのみ
both/many,諸/両/双/もろ
sashimi prepared from live fish - arranged in its original shape/fresh sashimi,活け造り/活け作り/生け作り/生け造り/活作り/いけづくり
dressing oneself up to look young/altering one's appearance to look young,若作り/わかづくり
to be afraid of/to fear,怖がる/恐がる/こわがる
photograph/photo,写真/寫眞/寫真/しゃしん
(one's) beloved car (or motorcycle - bicycle - etc.)/(one's) wheels,愛車/あいしゃ
crossing/traversing,横断/おうだん
horizon (related to land),地平線/ちへいせん
to continue/to last,続く/つづく
to knock (someone) to their feet/to knock down,ぶっ飛ばす/打っ飛ばす/ぶっとばす
in drops/dripping,だらだら/だらだら
to live/to get along,暮らす/暮す/くらす
way of saying (something)/way of putting it,言い方/言方/いいかた
constant/invariant,変わらない/かわらない
fog/mist,霧/きり
acquaintance,知り合い/知合い/知りあい/知り合/知合/しりあい
to be able to drink/to be worth drinking,飲める/のめる
he/she,其奴/其奴/其奴/そいつ
to wake/to wake up,覚める/醒める/さめる
to carry/to transport,運ぶ/はこぶ
another/one more,もう一つ/もう１つ/もうひとつ
considerably/greatly,大分/大分/だいぶ
wicked person/evil person,悪/わる
hated person/disliked person,嫌われ者/嫌われもの/きらわれもの
fact/truth,事実/じじつ
popular person/favorite,人気者/にんきもの
next time (occasion),次回/じかい
drawing or writing in pencil,鉛筆書き/えんぴつがき
to paint/to plaster,塗る/ぬる
