remodeling/remodelling,改造/かいぞう
period (of life) when one is enjoying more romantic attention than usual,モテ期/もて期/持て期/モテき
steam whistle,汽笛/きてき
target practice/marksmanship,射的/しゃてき
miracle/wonder,奇跡/奇蹟/きせき
time/season,時期/じき
breeding season,繁殖期/はんしょくき
season/time of year,季節/きせつ
to go around/to return,巡る/回る/廻る/めぐる
to visit/to call on,訪れる/訪れる/おとずれる
effort/exertion,努力/どりょく
(body) weight/Body weight,体重/たいじゅう
should (be)/bound (to be),筈/弭/はず
good-looking guy/handsome man,イケ面/いけ面/イケめん
prize/award,賞/しょう
to make a mistake/to be incorrect,間違う/まちがう
delivery,配達/配達/はいたつ
stand/stall,売店/ばいてん
to deliver/to forward,届ける/屆ける/とどける
force/strength,力/ちから
to lend (e.g. money),貸して上げる/貸してあげる/かしてあげる
unnecessary/not needed,必要ない/必要無い/ひつようない
temporary licence/temporary license,仮免/かりめん
finally/at last,到頭/とうとう
tasks/things to do,用事/ようじ
cooperation/collaboration,協力/共力/きょうりょく
information/news,情報/じょうほう
to lay in stock/to replenish stock,仕入れる/しいれる
old person/elderly person,年寄り/年寄/年より/としより
nonchalant/unconcerned,さり気ない/然り気無い/然り気ない/然りげ無い/さりげない
traditional (esp. fashion)/trad,トラッド/トラッド
male (animal - plant),雄/雄/牡/牡/おす
feather/plume,羽/羽根/羽/はね
cartoon-character costume,着包み/着ぐるみ/きぐるみ
normally/habitually,日ごろ/日頃/ひごろ
sexy/popular,持て持て/もてもて
something like .../things like ...,なんか/なんか
tough/hard,きつい/きつい
to work/to labor,働く/はたらく
information/news,情報/じょうほう
important/serious,大事/だいじ
very hard/with utmost effort,一生懸命/一生けん命/いっしょうけんめい
steamed yeast bun with filling,饅頭/まんじゅう
dumpling (usu. sweet),団子/だんご
Western-style house,洋館/ようかん
cyborg,改造人間/かいぞうにんげん
to make war (on)/to wage war (against),戦う/闘う/たたかう
Here I am/I'm home!,ただ今/唯今/只今/ただいま
a little/a bit,ちょい/ちょい
right/right-hand side,右/みぎ
amount necessary to fill a container/drink,一杯/１杯/一ぱい/１ぱい/一盃/いっぱい
to be able to receive/to be able to take,貰える/もらえる
