lovey-dovey/head-over-heels in love,ラブラブ/ラブラブ
large-scale operation/large-scale campaign,大作戦/だいさくせん
license/permit,免許/めんきょ
small coloured sugar candy covered with tiny bulges,金平糖/金平糖/金平糖/金米糖/金米糖/金米糖/金餅糖/金餅糖/金餅糖/こんぺいとう
eternity/perpetuity,永遠/えいえん
ill-omened/unlucky,縁起でもない/えんぎでもない
to break/to destroy,壊す/毀す/こわす
to extract/to pull out,引っこ抜く/ひっこぬく
failure/mistake,失敗/しっぱい
passenger seat/assistant driver's seat,助手席/じょしゅせき
stylish/smart,洒落た/しゃれた
carriage (e.g. of one's body),熟し/こなし
while/even though,つつ/つつ
dry run/rehearsal,予行演習/よこうえんしゅう
appointment,待ち合わせ/待ちあわせ/まちあわせ
list of marks/list of grades,採点表/さいてんひょう
teacher/instructor,教官/きょうかん
plan/project,計画/けいかく
to pile up/to heap up,盛り上げる/盛りあげる/もりあげる
production (e.g. play)/direction,演出/えんしゅつ
programme/program,段取り/段どり/だんどり
distance/journey,道のり/道程/道程/みちのり
item/heading,項目/こうもく
temporary licence/temporary license,仮免/かりめん
acquisition/possession,獲得/かくとく
already/too late,既に/既に/已に/已に/すでに
roughly/approximately,ざっくり/ざっくり
to fall (e.g. blossoms - leaves)/to scatter,散る/ちる
dry run/rehearsal,予行演習/よこうえんしゅう
scenery/scene,景色/景色/けしき
appearance/behaviour,振り/風/ふり
sunscreen/suntan lotion,日焼け止め/ひやけどめ
fair-skinned/light-complexioned,色白/いろじろ
to be plump/to be chubby,ぽっちゃり/ぽっちゃり
nail (e.g. fingernail - toenail)/claw,爪/つめ
solid/firm,頑丈/岩乗/がんじょう
lunch/noon,お昼/御昼/おひる
joy/delight,喜び/歓び/慶び/悦び/よろこび
performance/take,本番/ほんばん
sold-out,売り切れ/売切れ/売切/うりきれ
luxury/extravagance,奢り/おごり
conveyor belt sushi/sushi-go-round,回転寿司/回転ずし/回転鮨/回転寿司/回転すし/回転鮨/かいてんずし
to break off/to come to an end,途切れる/跡切れる/とぎれる
to sleep/to die,眠る/眠る/睡る/睡る/ねむる
lullaby/Lullaby,子守唄/子守歌/こもりうた
evening sun/setting sun,夕日/夕陽/夕日/夕陽/ゆうひ
to sink/to go under,沈む/しずむ
to be in time (for)/to serve (suit - meet) the purpose,間に合う/間にあう/まにあう
night view/night skyline,夜景/やけい
one's whole heart/everything one feels,思いの丈/思いのたけ/おもいのたけ
how can (one) do something,どうしたら/どうしたら
to be done (to someone)/to do,為れる/される
impudent/shameless,図々しい/図図しい/ずうずうしい
next time (occasion),次回/じかい
palace/Palace,宮殿/きゅうでん
