salmon,鮭/鮭/さけ
luggage/baggage,荷物/にもつ
preparation/arrangements,準備/じゅんび
preparation/arrangements,用意/ようい
ingredient/foodstuff,食材/しょくざい
ingredients/material,材料/ざいりょう
excavation/exhumation,発掘/はっくつ
excursion/outing,遠足/えんそく
true seal (animal)/earless seal,海豹/海豹/あざらし
walrus/elephant seal,海象/海馬/海象/せいうち
to grow/to spring up,生える/はえる
to be harvested/to be reaped,獲れる/穫れる/とれる
prey/catch,獲物/えもの
imagination/guess,想像/そうぞう
to take (a resource - e.g. time or money)/to hang,掛かる/懸かる/掛る/懸る/かかる
to get/to earn,得る/獲る/える
bursting with youth and energy (esp. young woman)/vivaciously young,ぴちぴち/ぴちぴち
easily mixed up (e.g. similar words)/easily mistaken,紛らわしい/まぎらわしい
unconsciously/involuntarily,思わず/おもわず
to become less crowded/to thin out,空く/すく
conclusion from reasoning - judgement or calculation based on something read or heard/reason,訳/わけ
filling (meal)/heavy,腹にたまる/腹に溜まる/はらにたまる
satisfaction/contentment,満足/滿足/まんぞく
hunting/harvesting (e.g. berries - fruit),狩り/狩/かり
target,標的/ひょうてき
definitely/absolutely,絶対/ぜったい
movement/move,動き/うごき
prediction/estimation,予測/よそく
to get irritated/to get annoyed,苛々/苛苛/刺々/刺刺/いらいら
health/healthy,健康/けんこう
disliking a certain food without having tried it/disliking something without having tried it,食わず嫌い/食わずぎらい/くわずぎらい
to come off/to be removed,取れる/とれる
thanks/gratitude,お礼/御礼/御礼/おれい
to study (in depth)/to learn,学ぶ/學ぶ/まなぶ
wisdom/wit,知恵/智恵/智慧/ちえ
drinking party/get-together,飲み会/のみかい
remaining/leftover,残った/のこった
to hang/to suspend,下げる/さげる
confusion/bustle,どさくさ/どさくさ
somewhat/to some extent,幾分/いくぶん
unpleasant/awkward,気まずい/気不味い/きまずい
bottom of one's heart,心の底/こころのそこ
wisdom/wit,知恵/智恵/智慧/ちえ
to attach/to join,付ける/着ける/附ける/つける
