deep emotion/impression,感激/かんげき
cold/indifferent,つれない/つれない
on good terms with/on cordial terms with,仲良く/仲よく/仲好く/なかよく
each time/every time,度に/度に/たびに
about this time,今頃/今ごろ/いまごろ
thank you for your hard work/I appreciate your efforts,ご苦労様/ご苦労さま/御苦労様/御苦労さま/ごくろうさま
charge (e.g. admission - menu item)/cost,お代/御代/おだい
(not) particularly/(not) especially,別に/べつに
to arrange (flowers)/to plant,生ける/活ける/いける
corresponding to (in meaning - function - etc.)/being equivalent to,相当/そうとう
considerably/fairly,可也/可成り/可なり/可成/かなり
circumstances/conditions,事情/じじょう
younger days/youth,若き日/わかきひ
the world/society,世界/せかい
a certain ...,と或る/とある
event/affair,事件/じけん
to roll up/to enfold,巻き込む/巻きこむ/巻込む/まき込む/まきこむ
meagre/meager,細やか/ささやか
wearisome/insipid,味気ない/味気無い/味けない/味気ない/味気無い/あじけない
everyday/daily,日常/にちじょう
coloring/colouring,彩り/色どり/色取り/いろどり
charge (e.g. admission - menu item)/cost,お代/御代/おだい
to live/to get along,暮らす/暮す/くらす
younger sister,妹/いもうと
denial/negation,否定/ひてい
too thin/underweight,痩せすぎ/痩せ過ぎ/やせ過ぎ/やせすぎ
tag (children's game),鬼ごっこ/おにごっこ
to chase/to run after,追いかける/追い掛ける/追い駆ける/追掛ける/おいかける
to turn/to revolve,回る/廻る/まわる
to roll/to tumble,転がる/ころがる
hide-and-seek (game),隠れん坊/隠れんぼ/隠れん坊/かくれんぼ
unexpectedly/surprisingly,案外/あんがい
to turn back (e.g. half-way)/to return,戻る/もどる
who?,何奴/何奴/何奴/どいつ
grandfather/male senior-citizen,爺ちゃん/祖父ちゃん/じいちゃん
circumstances/condition,都合/つごう
to grow senile/to be childish with age,呆ける/惚ける/呆ける/惚ける/耄ける/ぼける
grand ultimate fist/Tai Chi Chuan,太極拳/たいきょくけん
to run (a business)/to operate,営む/いとなむ
sad/miserable,悲しい/哀しい/愛しい/かなしい
tear/tears,涙/泪/涕/涙/涙/なみだ
even if/even though,ても/ても
unconsciously/involuntarily,思わず/おもわず
dazzling/radiant,眩しい/眩しい/まぶしい
hard (life)/tough (world),世知辛い/せちがらい
delivery,配達/配達/はいたつ
to touch/to feel,触る/さわる
admiration/appreciation,観賞/かんしょう
business/task,用/よう
to wake up/to awake,目覚める/目ざめる/目醒める/めざめる
state of affairs (around you)/situation,状況/情況/じょうきょう
price of a flower/fee for a geisha's companionship,花代/はなだい
payment,支払い/支払/しはらい
hug,抱っこ/だっこ
shyness/fear of strangers,人見知り/ひとみしり
where/which,何れ/何れ/孰れ/孰れ/いずれ
tasks/things to do,用事/ようじ
to chase/to run after,追いかける/追い掛ける/追い駆ける/追掛ける/おいかける
envious/jealous,羨ましい/うらやましい
one's line of sight/one's gaze,視線/しせん
to feel/to sense,感じる/かんじる
