confession/acknowledgement,告白/こくはく
to arrange (flowers)/to plant,生ける/活ける/いける
to knead/to thicken into a paste (stirring over a flame),練る/煉る/ねる
bread roll filled with red bean paste,餡パン/あんパン
(not) particularly/(not) especially,別に/べつに
for/for the sake of,為に/爲に/ために
to invite/to ask (someone to do),誘う/誘う/さそう
after all/in the end,結局/けっきょく
rather/sooner,いっそ/いっそ
small/little,小さな/ちいさな
to fear/to be afraid of,恐れる/怖れる/畏れる/懼れる/惧れる/おそれる
to step forward/to step forth,踏み出す/踏みだす/踏出す/ふみだす
old/aged,古い/故い/旧い/ふるい
saying/maxim,格言/かくげん
to associate with/to keep company with,付き合う/付合う/つき合う/つきあう
at once/immediately,早速/さっそく
utter villain/atrocious fiend,極悪人/ごくあくにん
natural/reasonable,当たり前/当り前/あたり前/当りまえ/あたりまえ
to set one's mind on doing/to get the idea of doing,思い立つ/思いたつ/おもいたつ
for example/for instance,例えば/たとえば
plain/simple,地味/じみ
to expand/to swell (out),膨らむ/脹らむ/ふくらむ
tortoise,陸ガメ/陸亀/りくガメ
shell (of crab - tortoise - etc.)/carapace,甲羅/こうら
to bite (at)/to snap at,噛み付く/噛みつく/噛付く/かみ付く/かみつく
foul play (sport)/breaking the rules,反則/はんそく
to attach/to join,付ける/着ける/附ける/つける
plain/frank,明白/偸閑/白地/あからさま
to leak out (a secret)/to be exposed (a lie - improper behaviour - etc.),ばれる/ばれる
to follow/to come along with one,付いてくる/付いて来る/ついて来る/ついてくる
military commander,武将/ぶしょう
to break/to be broken,折れる/おれる
three heads are better than two/if three people gather,三人寄れば文殊の知恵/三人よれば文殊の知恵/さんにんよればもんじゅのちえ
fount of knowledge/the smart one (of a group of people),知恵袋/ちえぶくろ
shallow cunning/shallow cleverness,猿知恵/猿知恵/さるぢえ
to receive/to get,受け取る/受けとる/受取る/請け取る/請取る/うけ取る/うけとる
good luck charm/uttered when using magic,お呪い/御呪い/おまじない
(romantic) love,恋/戀/孤悲/こい
act/deed,行為/こうい
on countless occasions/many a time,幾度となく/いくどとなく
to repeat/to do something over again,繰り返す/くり返す/繰りかえす/繰返す/くりかえす
the future (usually distant)/future tense,未来/みらい
saying/maxim,格言/かくげん
if/in case,若し/もし
to accept/to receive,受け入れる/受入れる/受け容れる/受けいれる/受容れる/うけいれる
darn it!/darn!,仕舞った/しまった
to be soaked in/to be flooded,浸る/漬る/ひたる
reality/actuality,現実/げんじつ
potentiality/likelihood,可能性/かのうせい
very/considerably,中々/仲々/中中/なかなか
racing (of an engine)/spinning one's wheels,空回り/からまわり
no time like the present/make hay while the sun shines,思い立ったが吉日/思い立ったが吉日/おもいたったがきちじつ
tune/tone,調子/ちょうし
to get tired of waiting,待ちくたびれる/待ち草臥れる/まちくたびれる
poet,詩人/しじん
good luck/fortune,幸運/好運/こううん
hero/the brave,勇者/勇者/ゆうしゃ
together/jointly,共に/倶に/供に/ともに
now/come (now),いざ/いざ
hindrance/obstacle,邪魔/じゃま
to go/to come,参る/詣る/まいる
in detail/fully,詳しく/くわしく
to memorize/to memorise,覚える/憶える/おぼえる
ticket/coupon,券/けん
somewhat larger (amount)/quite a lot,多め/多目/おおめ
(not) so much/(not) that much,其れ処/其処/それどころ
to touch/to feel,触れる/ふれる
tedium/boredom,退屈/怠屈/たいくつ
stimulus/impetus,刺激/刺戟/剌激/しげき
second (unit of time)/arc second,秒/びょう
reduction/curtailment,縮小/しゅくしょう
