self-introduction,自己紹介/じこしょうかい
caretaker (at a zoo or aquarium)/keeper,飼育員/しいくいん
senior (at work or school)/superior,先輩/せんぱい
in this manner/in this way,此の様に/この様に/このように
grand/formal,晴れがましい/はれがましい
invitation,招き/まねき
crown (of head)/summit (of mountain),頂/頂き/戴き/いただき
thank you very much,誠にありがとうございます/誠に有難うございます/誠に有難う御座います/誠にありがとう御座います/まことにありがとうございます
inexperienced person/incompetent person,不束者/ふつつか者/ふつつかもの
after this/from now on,以後/已後/いご
to recognise/to recognize,見知る/みしる
polite/courteous,丁寧/叮嚀/ていねい
first meeting/first interview with,初対面/しょたいめん
one's post/place of work,職場/しょくば
to work (for)/to be employed (at),勤める/務める/つとめる
to receive/to get,受ける/請ける/承ける/享ける/うける
subsequently/next,続いて/つづいて
very highly commended/highly lauded,大好評/だいこうひょう
capture/seizure,捕獲/ほかく
woman/girl,女子/女子/女子/じょし
first of all/at once,取りあえず/取り敢えず/取敢えず/とりあえず
raw/uncooked,生/なま
true seal (animal)/earless seal,海豹/海豹/あざらし
bring-your-own (e.g. food and drink),持ち込み/持込み/持込/もちこみ
six/six years of age,六つ/六つ/６つ/６つ/むっつ
conclusion from reasoning - judgement or calculation based on something read or heard/reason,訳/わけ
learning about the world/preparation for life in the community,社会勉強/しゃかいべんきょう
therefore/consequently,因って/仍って/依って/依て/仍て/よって
yes/that is so,そうなんです/そうなんです
to be popular/to come into fashion,流行る/はやる
is something wrong?/what's wrong?,どうかした/どうかした
to get drunk/to become intoxicated,酔う/酔う/よう
assortment (of food)/assorted dishes,盛り合わせ/盛合せ/盛り合せ/盛合わせ/もりあわせ
raw sliced fish,刺身/刺し身/さしみ
after all/because,だって/だって
small shrimp,小エビ/小海老/小蝦/こエビ
email with attached photos sent from a mobile phone/photo taken with a mobile phone,写メ/しゃメ
indicates supposition/if ... then,たら/たら
breeding/raising,飼育/しいく
distinction,見分け/みわけ
more or less/though not quite satisfactorily,一応/一往/いちおう
guts/bowels,腸/腸/腸/ちょう
short/brief,短い/短かい/みじかい
nutrition/nourishment,栄養/営養/えいよう
to supplement/to make up for,補う/おぎなう
information/news,情報/じょうほう
drooping eyes,タレ目/たれ目/垂れ目/タレめ
practicality/practical,実際/じっさい
sharp (blade)/pointed,鋭い/するどい
to succeed/to relieve,替わる/代わる/換わる/替る/代る/換る/かわる
to arrive at (after a struggle)/to finally reach,たどり着く/辿り着く/辿りつく/たどりつく
chair/stool,椅子/倚子/いす
