disappointed love/broken heart,失恋/しつれん
tasting/sampling,味見/あじみ
to address (someone)/to accost a person,話しかける/話し掛ける/はなしかける
appetite (for food)/Appetite,食欲/食慾/しょくよく
unicycle/monocycle,一輪車/いちりんしゃ
willpower/energy,気力/きりょく
to dig/to excavate,掘る/ほる
in front of a station/Ekimae,駅前/えきまえ
(police) detective/criminal matter,刑事/けいじ
offender/criminal,犯人/はんにん
surprisingly/astonishingly,驚いたことに/おどろいたことに
impossible/unlikely,あり得ない/有り得ない/有得ない/ありえない
dark/gloomy,暗い/昏い/冥い/闇い/くらい
by no means/never!,真逆/まさか
nausea/sickness in the stomach,吐き気/吐気/吐きけ/嘔き気/はきけ
witnessing/observing,目撃/もくげき
circumference/girth,巡り/廻り/めぐり
fate/destiny,運命/うんめい
coincidence/chance,偶然/ぐうぜん
(lying on one's belly and) basking in the sun/sunbathing (e.g. on a beach),甲羅干し/こうらぼし
touching/moving,涙ぐましい/なみだぐましい
pair of lovers/girlfriend and boyfriend,恋人同士/恋人同志/こいびとどうし
to get dry,乾く/かわく
definite/final,決定的/けっていてき
clearly/plainly,はっきり/はっきり
shell (of crab - tortoise - etc.)/carapace,甲羅/こうら
neck/head,首/頸/頚/くび
to draw back/to sink,引っ込む/引っこむ/ひっこむ
perfect/complete,完璧/完ぺき/完壁/完壁/かんぺき
to give birth/to bear (child),生む/産む/うむ
resolutely/boldly,思い切って/思いきって/おもいきって
to invite/to ask (someone to do),誘う/誘う/さそう
slow/time-consuming,遅い/鈍い/晩い/遲い/おそい
with trouble/at great pains,折角/せっかく
vehicle/conveyance,乗り物/乗物/のりもの
clearly/plainly,きっぱり/きっぱり
to appear/to come in sight,現れる/現われる/表れる/表われる/顕れる/顕われる/あらわれる
to drag along/to pull,引きずる/引ずる/引き摺る/引摺る/ひきずる
entry (on stage)/appearance (on screen),登場/とうじょう
duel/shoot-out,決闘/けっとう
fighting scene/scene of carnage (bloodshed),修羅場/修羅場/しゅらば
association/socializing,付き合い/つき合い/付合い/つきあい
the other day/lately,この間/この間/此の間/此の間/このあいだ
Japanese sardine,真鰯/まいわし
order/sequence,順序/じゅんじょ
plain/frank,明白/偸閑/白地/あからさま
hobby/pastime,趣味/しゅみ
to make a fresh start/to turn over a new leaf,出直す/出なおす/でなおす
