nightlife/night amusements,夜遊び/よあそび
closing up shop (for the day)/stopping business,閉店/へいてん
brat/kid,餓鬼/がき
suspension/stoppage,中止/ちゅうし
to hang from/to dangle,ぶら下がる/ぶらさがる
splendid/nice,結構/けっこう
muscle stiffness (esp. in shoulders)/lump (in tissue - esp. breast),凝り/凝/痼り/凝り/凝/しこり
to come untied/to come apart,解れる/ほぐれる
ball/sphere,玉/球/珠/弾/たま
to return a blow repeat/to turn back,打ち返す/打返す/うちかえす
big hit/big prize,大当たり/大当り/おおあたり
copybook/model,手本/てほん
to hold (in one's hand)/to take,持つ/もつ
another time/again,改めて/新ためて/あらためて
to set up (a house - store - etc.)/to build,構える/かまえる
to hit/to expose,当てる/あてる
wooden building blocks/wooden bricks,積み木/積木/つみき
to drain/to pour,流す/ながす
to be effective/to take effect,効く/利く/きく
ticklish/embarrassed,こそばゆい/こそばゆい
to pierce/to penetrate,染みる/沁みる/滲みる/浸みる/泌みる/しみる
refreshingly/with a feeling of relief,すっきり/すっきり
to turn/to rotate,回す/廻す/まわす
hot water/hot bath,お湯/御湯/おゆ
regulation/adjustment,調節/ちょうせつ
Veitch's bamboo,熊笹/隈笹/くまざさ
called/named,と言う/と言う/という
magic (illusion)/conjuring,手品/てじな
sweat/perspiration,汗/あせ
to steam (food - towel - etc.)/to be hot and humid,蒸す/むす
limit/bound,限界/げんかい
pity/sympathy,情け/なさけ
patience/endurance,辛抱/辛棒/しんぼう
deed (esp. negative)/act,仕業/為業/しわざ
belly/abdomen,小腹/こばら
newcomer/new face,新顔/しんがお
one's father/old man,親父/親爺/老爺/親仁/老爺/親父/おやじ
first of all/at once,取りあえず/取り敢えず/取敢えず/とりあえず
to eat/to live,食う/喰う/啖う/くう
suddenly and forcefully (e.g. jerk - poke - shove)/in a single gulp,ぐいっと/ぐいっと
light/well-lit,明るい/明い/あかるい
dark/gloomy,暗い/昏い/冥い/闇い/くらい
both/both sides,両方/りょうほう
to carry (a child) on one's back,負ぶる/おぶる
to return/to come home,帰る/還る/歸る/かえる
to take (someone) with one/to bring along,連れる/つれる
attractive/good-looking,格好いい/格好いい/かっこいい
moment/second,瞬間/しゅんかん
live broadcast/Live television,生放送/なまほうそう
to descend (e.g. a mountain)/to go down,降りる/下りる/おりる
