late-growing rice/late bloomer,奥手/晩生/晩稲/晩熟/おくて
clearly/plainly,はっきり/はっきり
knowledge/information,知識/智識/ちしき
abundant/plentiful,豊富/ほうふ
now/come (now),いざ/いざ
courage/bravery,勇気/ゆうき
child born of older parents/child raised by grandparents,年寄り子/としよりご
hard to see/indistinct,見づらい/見辛い/みづらい
mistake/error,間違え/まちがえ
to wave/to shake,振る/ふる
experienced/well-versed,経験豊富/けいけんほうふ
being twice divorced/two-time divorcee,バツ２/バツ二/罰二/バツに
in relation to,関して/かんして
to grow fat/to gain weight,肥える/こえる
first/new,初/初/はつ
innocent/naive,初々しい/初初しい/ういういしい
to connect/to link together,繋ぐ/つなぐ
to discover/to find (e.g. an error in a book),見つける/見付ける/見附ける/見附る/見付ける/見附ける/見附る/みつける
reconciliation/make peace with,仲直り/なかなおり
physical work/physical worker,ガテン系/ガテンけい
sumo wrestling/wrestler,相撲/相撲/角力/角力/すもう
assertiveness/positiveness,積極性/せっきょくせい
important/serious,大事/だいじ
sermon/preaching,説教/せっきょう
habit (often a bad habit - i.e. vice)/tendency,癖/癖/くせ
more or less/though not quite satisfactorily,一応/一往/いちおう
to decorate/to ornament,飾る/餝る/錺る/荘る/かざる
embarrassing/embarrassed,恥ずかしい/恥かしい/恥しい/羞ずかしい/羞しい/羞かしい/はずかしい
excuse me for disturbing (interrupting) you/greeting used when entering someone's home,お邪魔します/御邪魔します/おじゃまします
end/conclusion,最後/さいご
global warming/Global warming,地球温暖化/ちきゅうおんだんか
earnest/sincere,切実/せつじつ
impudent/shameless,図々しい/図図しい/ずうずうしい
deadline/closing,締め切り/締切り/締切/〆切/〆切り/乄切り/閉め切り/閉切り/しめきり
pocket money/spending money,小遣い/小遣い/小遣/小遣/こづかい
cool/refreshing,涼しい/すずしい
use of the familiar address  -kun -/treating someone with familiarity,君付け/くんづけ
distance/range,距離/きょり
to stuff into/to jam,詰める/つめる
still image,静止画/せいしが
overeating,食いすぎ/食い過ぎ/くいすぎ
