sigh,ため息/溜息/溜め息/ためいき
about/concerning,就いて/ついて
to dissolve/to melt,溶かす/解かす/融かす/熔かす/鎔かす/とかす
to get tired of/to lose interest in,飽きる/厭きる/倦きる/倦る/あきる
second (unit of time)/arc second,秒/びょう
to smash/to crush,潰す/つぶす
nap (afternoon)/siesta,昼寝/昼寐/ひるね
to get a crick in one's neck (while sleeping),寝違える/ねちがえる
to pass (of time)/to elapse,経つ/たつ
reason/pretext,理由/理由/りゆう
rather/better,寧ろ/寧/むしろ
to abate/to decrease,減らす/へらす
occasionally/once in a while,偶に/適に/たまに
change of pace/change of mood,気分転換/きぶんてんかん
begging/pestering,強請り/強請/ねだり
to think of/to hit upon,思いつく/思い付く/おもいつく
coolness/calmness,平気/へいき
distinction/differentiation,区別/區別/くべつ
understanding (of people's circumstances and feelings)/perceptiveness,物分り/物分かり/物わかり/物解り/ものわかり
paid vacation/leave,有給休暇/ゆうきゅうきゅうか
to be in time (for)/to serve (suit - meet) the purpose,間に合う/間にあう/まにあう
to be conspicuous/to stand out,目立つ/目だつ/めだつ
delicious-looking/tasty-looking,美味しそう/おいしそう
insertion/letter drop,差し入れ/差入れ/さしいれ
heat/fever,熱/ねつ
different (from)/not the same (as),違くて/違くて/違うくて/ちがくて
huge/big,でかい/でかい
wrong/not good,行けない/いけない
equipment,装備/そうび
technique/art,技/技/伎/伎/わざ
certainly!,畏まりました/かしこまりました
to suspect,怪しむ/あやしむ
improbable/unlikely,あり得ない/有り得ない/有得ない/ありえない
dangerous/risky,やばい/やばい
written explanation/written apology,始末書/しまつしょ
preparation/arrangements,用意/ようい
very popular/highly favoured,大人気/だいにんき
distance/range,距離/きょり
to sink (e.g. a ship)/to submerge,沈める/しずめる
to sell (well)/to be well known,売れる/うれる
three colours/three colors,三色/さんしょく
huge success,大成功/だいせいこう
