dress/outfit,装い/粧い/よそおい
(hard) candy/toffee,飴/あめ
then/well then,ほな/ほな
lovely/wonderful,素敵/素適/素的/すてき
to get dark/to grow dark,暮れる/眩れる/暗れる/昏れる/くれる
to get tired of/to lose interest in,飽きる/厭きる/倦きる/倦る/あきる
scattered/disperse,バラバラ/バラバラ
as far as the eye can see,見渡す限り/見渡すかぎり/みわたすかぎり
horizon (related to bodies of water),水平線/すいへいせん
water's surface/Surface water,水面/水面/すいめん
one's dominant hand/Handedness,利き手/利手/ききて
coincident with/while,同時に/どうじに
side (of something - or taking someone's side)/part,側/側/がわ
both shoulders,両肩/両肩/りょうかた
than/from,より/より
rather/better,寧ろ/寧/むしろ
lower back/waist,腰/こし
rotation (usu. around something)/revolution,回転/廻転/かいてん
to row/to scull,漕ぐ/こぐ
sandy beach/Beach,砂浜/すなはま
rich (taste)/full-bodied (flavour - flavor),まったり/まったり
at leisure/in a relaxed manner,のんびり/のんびり
drying/dried,干し/乾し/干/乾/ほし
to play (a stringed or keyboard instrument),弾く/ひく
large and rough/big and tough,ごつい/ごつい
suitability,向き向き/むきむき
congratulation/congratulations,お祝い/御祝い/お祝/御祝/おいわい
reserve/constraint,遠慮/えんりょ
something used to cover the eyes/blindfold,目隠し/目かくし/めかくし
first half/upper half,上半/じょうはん
to screw/to twist,捩る/捻る/拗る/捩じる/捻じる/拗じる/捩る/捩る/ねじる
slightly/a little,僅かに/纔かに/わずかに
slanting/tilted,斜め/斜め/斜/斜/傾/傾/ななめ
posture/pose,姿勢/しせい
arm/skill,腕/うで
height/altitude,高さ/たかさ
to hit/to expose,当てる/あてる
right in front/just opposite,真ん前/まん前/まんまえ
dried fish (or shellfish - etc.)/Stockfish,干物/干物/乾物/乾物/ひもの
called/named,問言うか
or perhaps I should say/or more precisely,問言うか/というか
beach hut/beachside clubhouse,海の家/うみのいえ
famous product/special product,名物/めいぶつ
light (i.e. not heavy)/feeling light (i.e. offering little resistance - moving easily),軽い/軽い/かるい
tongue/tongue-like object,舌/した
dislike of very hot food or drink/inability to take hot food,猫舌/ねこじた
most/extremely,最も/最も/尤も/尤も/もっとも
bad mannered/naughty,行儀悪い/ぎょうぎわるい
yakisoba/fried noodles - usu. with vegetables and meat,焼きそば/焼そば/焼き蕎麦/焼蕎麦/やきそば
high rating/good reputation,高評価/こうひょうか
behavior/behaviour,振る舞い/振舞い/振るまい/振舞/ふるまい
low rating/bad reputation,低評価/ていひょうか
one's own convenience/one's way,勝手/かって
train/railway train,列車/れっしゃ
service (bus - train)/operation,運行/うんこう
end/close,終了/しゅうりょう
to oversleep,寝過ごす/寝すごす/ねすごす
interest (in something)/curiosity (about something),興味/きょうみ
to talk/to chat,喋る/しゃべる
topic/subject,話題/わだい
to think of/to hit upon,思いつく/思い付く/おもいつく
announcement/publication,発表/はっぴょう
triumph/prosperity,得意/とくい
mimicry/imitation (of someone - something),物真似/物まね/ものまね
evening/dusk,夕方/夕がた/ゆうがた
