midsummer,真夏/まなつ
weed,雑草/ざっそう
at last/finally,漸と/やっと
short way/shortcut,近道/近路/ちかみち
to cool (from room temperature)/to chill,冷やす/冷す/ひやす
to advance/to go forward,進む/すすむ
cold (e.g. weather)/uninteresting (esp. joke),寒い/寒い/さむい
to burst open/to split open,弾ける/はじける
eucalyptus/Eucalyptus,ユーカリ/ユーカリ
to pick up/to find,拾う/ひろう
report/information,報告/ほうこく
earthen figure/clay figure,土偶/どぐう
garden/yard,庭/にわ
to fall down/to drop,落ちる/堕ちる/墜ちる/落る/おちる
 -goggle-eyed - clay figure/variety of humanoid figurine from the late Jōmon period,遮光器土偶/しゃこうきどぐう
serious/honest,真面目/眞面目/まじめ
lazy person/lazy fellow,怠け者/なまけ者/怠けもの/懶け者/なまけもの
as you want/as you will,好きなように/すきなように
to smoke/to breathe in,吸う/喫う/すう
hot/warm,暑い/あつい
scene of a fire,火事場/かじば
dessert stomach/having room for dessert despite being full,別腹/べつばら
to establish/to formulate,打ち立てる/打ちたてる/うち立てる/うちたてる
to follow another's example,見習う/見倣う/みならう
shade of tree,木陰/木かげ/木蔭/樹陰/樹蔭/樹陰/樹蔭/こかげ
to shine,射す/さす
bustling/busy,賑やか/にぎやか
to turn back (e.g. half-way)/to return,戻る/もどる
one's turn/one's shift,出番/でばん
to stretch/to extend,伸びる/延びる/のびる
violent,暴力的/ぼうりょくてき
polite/courteous,丁寧/叮嚀/ていねい
cooked rice/meal,飯/めし
to feed (e.g. an animal on oats)/to let eat,食わせる/くわせる
storm/windstorm,暴風/暴風/ぼうふう
to leave/to go away,去る/避る/さる
to give (someone) a treat/to be extravagant,奢る/傲る/驕る/おごる
trouble/bother,迷惑/めいわく
few days,数日/すうじつ
reason/pretext,理由/理由/りゆう
living thing/living creature,生き物/生きもの/いきもの
