cicada/locust,蝉/蝉/蟬/蟬/せみ
male (animal - plant)/Male,雄/雄/牡/牡/おす
abdominal pressure,腹腔内圧/ふくくうないあつ
pronunciation/production of sound,発音/はつおん
muscle/tendon,筋/条/すじ
membrane/film,膜/まく
female (animal - plant),雌/雌/牝/牝/牸/牸/めす
emotion/feeling,情緒/情緒/じょうちょ
physical condition/state of health,体調/たいちょう
high class/high grade,高級/こうきゅう
fruit store/fruit dealer,果物屋/くだものや
to be hit/to strike,当たる/当る/中る/中たる/あたる
preparation/arrangements,準備/じゅんび
preparation/arrangements,用意/ようい
preface/introduction,前振り/前ふり/まえふり
to fall (of rain - snow - ash - etc.)/to come down,降る/ふる
to finish/to stop,仕舞う/終う/了う/蔵う/しまう
to attach/to join,付ける/着ける/附ける/つける
delicious/tasty,美味しい/おいしい
composition/piece of music,曲/きょく
vibration/flickering,揺/揺り/ゆり
not yet known/unknown,未知/みち
scenery/scene,風景/ふうけい
tension/mental strain,緊張/きんちょう
to drink/to gulp,飲む/呑む/飮む/のむ
case/situation,場合/ばあい
letter (of alphabet)/character,文字/文字/もじ
voice/singing (of a bird),声/聲/こえ
trivial/not amounting to much,大したことではない/大した事ではない/大した事では無い/大したことでは無い/たいしたことではない
Sunday,日曜日/にちようび
insistent/obstinate,執拗い/しつこい
wholeheartedly/single-mindedly,一途に/一図に/いちずに
beginning/outset,最初/さいしょ
to love one another/to be affectionate towards each other,愛し合う/愛しあう/あいしあう
finally/at last,到頭/とうとう
fate/destiny,運命/うんめい
without reservation/freely,遠慮なく/えんりょなく
how many times?,何回/なんかい
indication/sign,気配/気配/けはい
insistent/obstinate,執拗い/しつこい
boastful talk about one's love life/speaking fondly about one's sweetheart,のろけ話/惚気話/ノロケ話/のろけばなし
to calm down/to compose oneself,落ち着く/落ちつく/落着く/落ち付く/落付く/おちつく
ominous/sinister,不吉/ふきつ
limit/restriction,限定/げんてい
orthopedics/plastic surgery,整形/せいけい
twice/double,倍/ばい
