town/block,町/街/町/まち
to visit/to call on,訪れる/訪れる/おとずれる
a certain ...,と或る/とある
to coil about/to follow about,まとわり付く/纏わりつく/纏わり付く/纏わりつく/纏わり付く/まつわり付く/まとわりつく
heat/hot air,熱気/ねっき
to split finely/to splinter,ささくれる/ささくれる
humid/sultry,蒸し暑い/むし暑い/蒸暑い/むしあつい
lukewarm/tepid,生ぬるい/生温い/なまぬるい
chilled Chinese noodles,冷やし中華/冷し中華/ひやしちゅうか
splendid/magnificent,見事/美事/みごと
to stretch/to extend,伸びる/延びる/のびる
to leave (behind)/to leave (undone),残す/のこす
to lean against/to lean on,凭れる/靠れる/もたれる
ought to do/have to do,せねば/せねば
strange/unfamiliar,見知らぬ/見しらぬ/みしらぬ
hit/success,当たり/当り/中り/中たり/あたり
end/verge,外れ/はずれ
to revive/to come to oneself,生き返る/生返る/生きかえる/いきかえる
call/visit,伺い/伺/うかがい
zip fastener/zipper,チャック/チャック
et cetera/etc.,等/抔/など
as expected/sure enough,矢張り/矢張/やはり
cartoon-character costume,着包み/着ぐるみ/きぐるみ
cutting in round slices/round slice,輪切り/わぎり
to doubt/to distrust,疑る/疑ぐる/うたぐる
inexcusable/unjustifiable,済まない/すまない
already/now,最早/もはや
prejudice/bias,偏見/へんけん
to leave something as it is,捨てて置く/すてておく
genuine/authentic,正真正銘/しょうしんしょうめい
denial/negation,否定/ひてい
moreover/furthermore,然も/而も/併も/しかも
selection/choice,選択/せんたく
good fortune (esp. omikuji fortune-telling result)/good luck,吉/吉/きち
bad luck/bad fortune,凶/兇/きょう
unexpectedly/surprisingly,案外/あんがい
inexperienced/immature,青臭い/青くさい/あおくさい
to bite/to chew,噛む/咬む/嚙む/嚼む/かむ
together with/as X - then Y (e.g. as we age we gain wisdom - as wine matures it becomes more valuable - etc.),と共に/とともに
outrageous/preposterous,言語道断/言語道斷/言語同断/ごんごどうだん
but/however,だが/だが
consciousness/becoming aware (of),意識/いしき
order/command,命令/めいれい
refusal/rejection,拒否/きょひ
to drink up/to drain (cup),飲み干す/飲干す/飲み乾す/飲乾す/飲みほす/のみほす
already/now,最早/もはや
limit/bound,限界/げんかい
battle/fight,戦い/闘い/たたかい
exactly/surely,正に/将に/当に/まさに
point-blank range,至近距離/しきんきょり
to pass through/to pass by,過ぎる/すぎる
escape/break-out,脱出/だっしゅつ
if you don't mind/if you like,宜しかったら/よろしかったら
shaking (something) out/starting point,振り出し/振出し/振出/振り出/ふりだし
to climb/to clamber (over - up),よじ登る/攀じ登る/よじ上る/攀じ上る/よじのぼる
abruptly/suddenly,行き成り/行き成り/行成り/行成り/行き成/行き成/行成/行成/いきなり
regrettable/disappointing,惜しい/おしい
to go away/to become more distant,遠ざかる/とおざかる
firmly rooted/deep-seated,根強い/ねづよい
Sea otter,海獺/猟虎/海猟/獺虎/らっこ
vivid/bright,鮮やか/鮮か/彩やか/あざやか
robber/Donkey,ロバ/ロバ
refreshingly/with a feeling of relief,すっきり/すっきり
to notice/to become aware,気がつく/気が付く/きがつく
regular customer/regular patron,常連/定連/じょうれん
difficult to be (in a place)/not feeling like staying,居づらい/居辛い/いづらい
to become less crowded/to thin out,空く/すく
while/during (the time when),間に/あいだに
relation/relationship,仲/なか
one-night stand/taking home a woman from a bar - club - etc.,お持ち帰り/おもちかえり
task/(doing a) bit of work,一仕事/ひと仕事/ひとしごと
twilight/sunset,日暮れ/日ぐれ/日暮/ひぐれ
to go out to meet/to receive,迎える/邀える/むかえる
reserve/constraint,遠慮/えんりょ
strange/unfamiliar,見知らぬ/見しらぬ/みしらぬ
gap/lag,ずれ/ずれ
to condemn/to blame,責める/せめる
position/situation,立場/たちば
first move (in go - shogi - etc.)/moving first,先手/せんて
to hit/to strike,打つ/うつ
to be completely changed,変わり果てる/変り果てる/かわりはてる
figure/form,姿/すがた
dictionary/lexicon,辞書/じしょ
