female high-school student,女子高生/じょしこうせい
human being/human,人間/にんげん
ditch/drain,溝/溝/みぞ
occasionally/once in a while,偶に/適に/たまに
resentment/grudge,恨み/憾み/怨み/うらみ
to invite/to ask (someone to do),誘う/誘う/さそう
uniformed personnel,制服組/せいふくぐみ
fetish/passion,フェチ/フェチ
in tufts/tufty,房房/房々/総総/総々/多多/多々/ふさふさ
pigtails/bunches,ツインテ/ツインテ
to be plump/to be chubby,ぽっちゃり/ぽっちゃり
intolerable/unbearable,堪らない/たまらない
sneak photography/non-consensual photography,盗撮/とうさつ
to get used to/to grow accustomed to,慣れる/馴れる/なれる
in a daze/absent-mindedly,ぼーっと/ぼーっと
nearly one hour,小一時間/こいちじかん
to talk together,語り合う/語りあう/かたりあう
lovely/cute,愛くるしい/あいくるしい
ring/circle,輪/環/わ
to show signs of being/to feel,がる/がる
proximity/nearness,間近/間近/真近/真近/まぢか
best/extra-fine,飛び切り/飛切り/とびきり
closing of a park (e.g. theme park - botanical garden - etc.),閉園/へいえん
visit to a park (kindergarten - zoo - etc.)/coming to a park,来園/らいえん
continuation/rest (of the story - work - etc.),続き/つづき
to return (something)/to restore,返す/反す/かえす
manual labor/manual labour,労働/労動/ろうどう
finish reading/skim (over),読過/どっか
special training/intensive training,特訓/とっくん
killer technique/surefire assassination method,必殺技/ひっさつわざ
to attach/to join,付ける/着ける/附ける/つける
for example/for instance,例えば/たとえば
imitating/copying,真似/まね
next time (occasion),次回/じかい
pair/couple,対/つい
