ghost story,怪談/かいだん
standard/routine,定番/ていばん
blackboard/Chalkboard,黒板/こくばん
trunks/shorts (e.g. seaside use),海パン/かいパン
big hit/big prize,大当たり/大当り/おおあたり
to be complete/to be all present,揃う/そろう
to take (someone) with one/to bring along,連れる/つれる
poor (at)/weak (in),苦手/にがて
candle,蝋燭/蠟燭/ろうそく
the way back/the way home,帰り道/帰り路/かえりみち
actually/really,実際に/じっさいに
(practical) experience/personal experience,体験/たいけん
overtime (work),残業/ざんぎょう
deer (esp. the sika deer - Cervus nippon)/cervid,鹿/鹿/鹿/鹿/しか
suddenly/casually,不図/不斗/不圖/ふと
indication/sign,気配/気配/けはい
optical illusion/hallucination,錯覚/さっかく
to approach/to draw near,近づく/近付く/近付く/ちかづく
resolutely/boldly,思い切って/思いきって/おもいきって
to turn one's head/to look over one's shoulder,振り返る/振りかえる/ふり返る/振返る/ふりかえる
cannot (do)/it is impossible that...,はずの無い/筈のない/筈の無い/はずのない
zebra,縞馬/斑馬/しま馬/シマ馬/斑馬/しまうま
moment/second,瞬間/しゅんかん
without leaving any trace,跡形も無く/跡形もなく/あとかたもなく
soul/spirit,霊/れい
tensely/tightly,ピンと/ピンと
inside (refrigerator - warehouse - etc.),庫内/こない
shuddering/shivering,ぞっと/ぞっと
sleepy/drowsy,眠い/睡い/ねむい
about when/about what time,いつ頃/何時頃/何時ごろ/いつごろ
bedside/near one's pillow,枕元/枕もと/枕許/まくらもと
last year,去年/去年/きょねん
love of animals/animal loving,動物好き/どうぶつすき
gravesite/tomb,墓/はか
to get tired of/to lose interest in,飽きる/厭きる/倦きる/倦る/あきる
to miss (e.g. a chance)/to lose,逃す/遁す/のがす
to go out (e.g. on an excursion or outing)/to leave,出かける/出掛ける/でかける
signboard/sign,看板/かんばん
to go to and from (a place)/to go back and forth between,通う/かよう
to continue/to last,続く/つづく
salmon,鮭/鮭/さけ
close to the ear,耳元/耳許/耳もと/みみもと
to gnaw/to nibble,齧る/囓る/噛る/かじる
fear/dread,恐怖/恐怖/きょうふ
hair/fur,毛/け
if/in case,若し/もし
if it's the case,でしたら/でしたら
direction/orientation,方向/ほうこう
camel/camel (cloth),駱駝/らくだ
