running away from home/elopement,家出/いえで
large amount of baggage/bulky baggage,大荷物/おおにもつ
errand/mission,使い/遣い/つかい
to ask/to hear,聞く/聴く/きく
apart from that/other than that,それより/それより
escape/evasion,逃避/とうひ
action/conduct,行動/こうどう
to get angry/to get mad,怒る/怒る/瞋る/おこる
basics/fundamentals,基本/きほん
to snatch away/to dispossess,奪う/うばう
to remain/to be left,残る/遺る/のこる
to pick up/to find,拾う/ひろう
coming/going,お出で/御出で/おいで
to be silent/to say nothing,黙る/だまる
considerably/fairly,可也/可成り/可なり/可成/かなり
limit/restriction,限定/げんてい
to fire (gun - arrow - questions - etc.)/to shoot,放つ/はなつ
live-in (e.g. job),住み込み/すみこみ
to work/to labor,働く/はたらく
magnificent/grand,堂々/堂堂/どうどう
various,色んな/いろんな
way/method,仕方/しかた
to make a mistake/to be incorrect,間違う/まちがう
everyday life/daily life,日常生活/にちじょうせいかつ
adult/grown-up,大人/大人/おとな
circumstances/condition,都合/つごう
to finish/to end,済む/濟む/すむ
to abate/to decrease,減らす/へらす
side (of something - or taking someone's side)/part,側/側/がわ
compromise/giving in,妥協/だきょう
neighborhood association,町内会/ちょうないかい
Buddhist memorial service,法事/ほうじ
relative/relation,親戚/親せき/しんせき
this weekend,今週末/こんしゅうまつ
suspension/stoppage,中止/ちゅうし
family/members of a family,家族/かぞく
to receive/to get,頂く/戴く/いただく
at once/immediately,早速/さっそく
family council,家族会議/かぞくかいぎ
topic of discussion/agenda,議題/ぎだい
double-speed (drive - etc.)/speed of CD drive - etc. - in multiples of 150 KB/s,倍速/ばいそく
