to run around trying to escape/to run from place to place,逃げ回る/逃げまわる/逃回る/にげまわる
nephew,甥っ子/甥っこ/甥子/甥子/おいっこ
emperor penguin (Aptenodytes forsteri)/Emperor Penguin,皇帝ペンギン/こうていペンギン
young bird/chick,雛/雛/ひよこ
insistent/obstinate,執拗い/しつこい
company/fellow,仲間/なかま
genuine/authentic,正真正銘/しょうしんしょうめい
body/frame,図体/ずうたい
very cheesy/very flashy,ド派手/ど派手/ドはで
pacifism/Pacifism,平和主義/へいわしゅぎ
quarrel/brawl,喧嘩/諠譁/けんか
cause/origin,原因/原因/げんいん
great inconvenience/great deal of trouble,大迷惑/大迷惑/だいめいわく
being very active/being very useful,大活躍/だいかつやく
without compunction/coolly,平気で/へいきで
fellow/mutual,同士/同士/どうし
a little/some,多少/たしょう
young bird/chick,ヒナ/雛/雛/ひよこ
violence/assault,乱暴/亂暴/らんぼう
ugly but cute/adorably ugly,ブサカワ/ブサカワ
fluffy/lumpy (e.g. clothing),もこもこ/もこもこ
on good terms with/on cordial terms with,仲良く/仲よく/仲好く/なかよく
armistice/ceasefire,停戦/ていせん
peace treaty/Peace treaty,平和条約/へいわじょうやく
conclusion/execution (of a contract),締結/ていけつ
surplus/margin,余裕/よゆう
sensation/feeling,気味/気味/きみ
discovery/detection,発見/はっけん
indicates position in a sequence/divisions of a kabuki performance,番目/番め/ばんめ
this morning,今朝/今朝/けさ
to mutter/to murmur,呟く/つぶやく
stuffing/mounting,剥製/はく製/はくせい
to hang up (e.g. a coat - a picture on the wall)/to let hang,掛ける/懸ける/かける
eyeball/special feature,目玉/めだま
to poke (repeatedly - lightly)/to nudge,突く/突付く/突つく/つつく
cooling oneself/enjoying the cool air,涼み/すずみ
to put on weight/to gain weight,太る/肥る/ふとる
exercise/physical training,運動/うんどう
biggest/greatest,最大/さいだい
exactly/surely,正に/将に/当に/まさに
king,王様/王さま/おうさま
to name/to call,名付ける/名づける/なづける
at that time/in those days,当時/とうじ
big/large,大きな/おおきな
continent/continental Asia (esp. mainland China),大陸/たいりく
they/those guys,奴ら/奴等/やつ等/やつら
commanding officer,隊長/たいちょう
emperor/Emperor,皇帝/皇帝/こうてい
suitable/proper,適当/てきとう
vexing/annoying,悔しい/口惜しい/悔やしい/口惜しい/くやしい
(human) life (i.e. conception to death)/Human life,人生/じんせい
valley/Valley,谷/渓/谿/たに
to feel irritated/to feel offended,むかつく/むかつく
woman with a wonderful personality,性格美人/せいかくびじん
attribute/property,属性/ぞくせい
hateful/abominable,憎い/悪い/にくい
easily mixed up (e.g. similar words)/easily mistaken,紛らわしい/まぎらわしい
suitable/proper,適当/てきとう
explorer,探検家/探険家/たんけんか
pattern/figure,模様/もよう
pagan/heretic,異教徒/いきょうと
very/considerably,中々/仲々/中中/なかなか
moreover/furthermore,然も/而も/併も/しかも
variety/kind,種類/しゅるい
price/value,価格/かかく
business/trade,営業/えいぎょう
high speed/rapidity,快速/かいそく
commuter express/commuter limited express,通勤急行/つうきんきゅうこう
strongest,最強/さいきょう
