yearning/longing,憧れ/憬れ/あこがれ
life/living,暮らし/暮し/くらし
seriousness/earnestness,本気/ほんき
at last/finally,漸と/やっと
living by oneself/living alone,一人暮らし/１人暮らし/ひとり暮らし/独り暮らし/一人暮し/ひとり暮し/独り暮し/ひとりぐらし
immediate reply,即答/そくとう
wooden sword/Kigatana,木刀/木刀/木刀/木刀/ぼくとう
hand-to-hand fighting/grappling,格闘/挌闘/かくとう
dining room/dining hall,食堂/しょくどう
hot-water supply,給湯/きゅうとう
rest/break,休養/きゅうよう
by any chance/(should) it happen (that),ひょっとして/ひょっとして
excess/surplus,過剰/かじょう
to dream (of),夢見る/夢みる/ゆめみる
to wake up/to sober up,目を覚ます/目をさます/めをさます
city/Tokyo Metropolitan Assembly,都会/とかい
scenery/scene,景色/景色/けしき
to spread (out)/to extend,広がる/拡がる/ひろがる
bamboo thicket/bamboo grove,竹林/竹林/ちくりん
scene/view,眺め/ながめ
to wake up/to awake,目覚める/目ざめる/目醒める/めざめる
today/this day,本日/ほんじつ
lunch/midday meal,昼食/昼食/中食/昼食/昼餉/ちゅうしょく
later/afterwards,後/のち
arrival,到着/とうちゃく
extravagant/lavish,豪華/ごうか
preparation/arrangements,用意/ようい
summoning/calling,お召し/御召し/お召/御召/おめし
article/thing,物件/ぶっけん
Japanese straw floor coverings,畳/疊/たたみ
as (i.e. in the role of)/for (i.e. from the viewpoint of),として/として
vague/ambiguous,曖昧/あい昧/あいまい
one part/one portion,一部/いちぶ
to insert/to include,組み込む/組込む/組みこむ/くみこむ
to bear/to stand,耐える/堪える/たえる
massive failure/debacle,大失敗/だいしっぱい
to move (house)/to change residence,引っ越す/引っこす/引越す/引き越す/ひっこす
cleaning/sweeping,掃除/そうじ
servant/menial,召し使い/召使い/召使/めしつかい
spicy/hot,辛い/からい
to relax/to feel at home,寛ぐ/くつろぐ
detached house/single house,一軒家/一軒屋/いっけんや
parent and child,親子/親子/おやこ
life expectancy,平均寿命/へいきんじゅみょう
layout (of a house or apartment)/arrangement of rooms,間取り/まどり
sand/grit,砂/沙/砂/沙/砂子/すな
obsession/fixation,拘り/こだわり
drinking fountain/water fountain,水飲み場/みずのみば
bathroom,風呂場/ふろば
to look at again/to re-examine (policy - estimate - plan - etc.),見直す/見なおす/みなおす
inner part/inside,奥/奧/おく
step/stair,段/だん
faithful/devoted,忠実/ちゅうじつ
to drive away/to turn away,追い返す/追返す/おいかえす
