festival/feast,お祭り/お祭/御祭り/御祭/おまつり
planning/project,企画/企劃/きかく
cart (esp. a food cart)/stall,屋台/屋体/家台/やたい
to pile up/to heap up,盛り上げる/盛りあげる/もりあげる
to entrust (e.g. a task) to another/to leave to,任せる/委せる/まかせる
going up in flames/destruction by fire (esp. of a large building),炎上/えんじょう
clanging/banging,ガンガン/ガンガン
to paint/to plaster,塗る/ぬる
being in charge (of an area of responsibility)/being responsible (for a work role - etc.),担当/たんとう
older brother/elder brother,お兄さん/御兄さん/おにいさん
seed (e.g. of a plant)/pip,種/たね
relative/relation,親戚/親せき/しんせき
originally/by nature,元々/本々/元元/本本/もともと
information/news,情報/じょうほう
investigation/inspection,調べ/しらべ
diligent/earnest,小まめ/小忠実/小マメ/こまめ
desert/Desert,砂漠/沙漠/さばく
cashier/accountant,勘定係/かんじょうがかり
especially/particularly,立てて/たてて
increased volume or quantity,増量/ぞうりょう
price reduction/discount,値引き/値引/ねびき
(not) particularly/(not) especially,別に/べつに
accurate/exact,正々/正正/せいせい
magnificent/grand,堂々/堂堂/どうどう
dull (e.g. of movement or reaction)/sluggish,まどろっこしい/まどろっこしい
seriously delicious/very skillful,激ウマ/激うま/激旨/げきウマ
to be surprised/to be astonished,驚く/愕く/駭く/おどろく
force/vigor,勢い/勢い/勢/勢/いきおい
reverse/opposite,逆/ぎゃく
sold-out,売り切れ/売切れ/売切/うりきれ
closing up shop (for the day)/stopping business,店じまい/店仕舞い/店仕舞/店閉まい/みせじまい
on the way/en route,途中/とちゅう
tongue,ベロ/ベロ
to reach/to touch,届く/とどく
regrettable/disappointing,惜しい/おしい
gun/rifle,銃/砲/じゅう
exchange/interchange,交換/こうかん
"self-indulgent"/ "self-centred"/ "disobedient",ワガママ/ワガママ
small/fine,細かい/こまかい
at once/immediately,直ちに/ただちに
selling out/being sold out,完売/かんばい
insertion/supply of provisions,差し入れ/差入れ/さしいれ
dull/uninteresting,詰らない/詰まらない/つまらない
embarrassed/awkward,間が悪い/まがわるい
reserve/constraint,遠慮/えんりょ
alongside/side-by-side,並んで/ならんで
going up in flames/destruction by fire (esp. of a large building),炎上/えんじょう
to glitter/to glisten,煌めく/煌く/きらめく
to curse/to put a curse on,呪う/詛う/のろう
rumour/rumor,噂/うわさ
to drain/to pour,流す/ながす
very busy (person or thing),大忙し/おおいそがし
petty/small-minded,せこい/せこい
splitting the cost/Dutch treat,割り勘/割勘/わりかん
fast pace/quick pace,急ぎ足/急足/いそぎあし
