abruptly/suddenly,行き成り/行き成り/行成り/行成り/行き成/行き成/行成/行成/いきなり
somehow/how,どう言う/如何いう/如何言う/どういう
to circulate/to broadcast配置/はいちarrangement (of resources)/deployment,流す/ながす
wording/phraseology,辞令/じれい
part-time work,非常勤/ひじょうきん
badger/Eurasian badger (Meles meles),穴熊/穴熊/貛/貛/アナグマ/あなぐま
assignment (of a person to somewhere)/attachment (of a person to another unit - organization - etc.),配属/はいぞく
to order/to command,命ずる/めいずる
head of a garden/kindergarten principal,園長/えんちょう
nocturnality/nocturnal habits,夜行性/やこうせい
to dig/to excavate,掘る/ほる
dark/gloomy,暗い/昏い/冥い/闇い/くらい
to be hit/to strike,当たる/当る/中る/中たる/あたる
to go by/to go past,通る/徹る/透る/とおる
splendid/nice,結構/けっこう
sea otter (Enhydra lutris)/Sea otter,海獺/猟虎/海猟/獺虎/らっこ/ラッコ
at once/immediately,早速/さっそく
to divide/to cut,割る/わる
common orient clam,蛤/文蛤/蚌/はまぐり
to divide/to cut,割る/わる
new face/newcomer,新人/しんじん
painful/difficult,苦しい/くるしい
front and rear/front and back,前後/ぜんご
alternation/change,交代/交替/こうたい
being worth doing,やり甲斐/遣り甲斐/やりがい
breeding/raising,飼育/しいく
to hang up (e.g. a coat - a picture on the wall)/to let hang,掛ける/懸ける/かける
to put/to place,置く/おく
to tidy up/to put in order,片付ける/片づける/かたづける
looking after/help,世話/せわ
obstruction/check,阻止/沮止/そし
organization/organisation,団体/だんたい
very popular/highly favoured,大人気/だいにんき
to shine/to glitter,輝く/耀く/赫く/燿く/煌く/かがやく
to go back to the start/to reset,元に戻す/もとに戻す/元にもどす/もとにもどす
