business/trade,営業/えいぎょう
now (when it is already much too late)/at this stage,今更/今さら/いまさら
meeting/conference,会議/かいぎ
subject/theme,課題/かだい
large quantity/massive (quantity),大量/たいりょう
to remain unsold/to be left on the shelf,売れ残る/うれのこる
sales promotion,販売促進/はんばいそくしん
concerning/regarding,に就いて/に就て/に付いて/について
New Year (esp. first three days)/first month of the year,正月/しょうがつ
rate/ratio,率/りつ
right in the middle (of)/midst,真っ最中/真っ最中/まっ最中/まっ最中/真最中/真最中/まっさいちゅう
force/vigor,勢い/勢い/勢/勢/いきおい
to hold or carry under or in the arms/to have (esp. problems - debts - etc.),抱える/かかえる
inventory/stock,在庫/ざいこ
zealous/enthusiastic,熱心/ねっしん
reward/prize,ご褒美/ごほうび
expression/presentation,表現/ひょうげん
genus/generic,属/ぞく
woman with a wonderful personality,性格美人/せいかくびじん
feather/plume,羽/羽根/羽/はね
village,村/村/むら
condition/assumption,前提/ぜんてい
puzzling/tangled,ややこしい/ややこしい
opposite side/bottom,裏/うら
proposal/proposition,提案/ていあん
variety/kind,種類/しゅるい
to give (as a gift)/to present,贈る/おくる
habit/(social) custom,習慣/しゅうかん
to make/to produce,作る/造る/創る/つくる
itself/one's own body,自体/じたい
to carry/to transport,運ぶ/はこぶ
to distribute/to hand out,配る/賦る/くばる
to attach/to join,付ける/着ける/附ける/つける
charm/fascination,魅力/みりょく
handshake/reconciliation,握手/あくしゅ
ticket/coupon,券/けん
general election (of the lower house)/General election,総選挙/そうせんきょ
voting right,投票権/とうひょうけん
overall/on the whole,全体的/ぜんたいてき
to break/to fracture,折る/おる
shoehorn,靴べら/靴箆/靴篦/くつべら
throwaway/disposable,使い捨て/使い捨て/遣い捨て/遣い捨て/使い捨/使い捨/つかいすて
party/banquet,宴会/えんかい
art/craft,芸/藝/げい
good idea,名案/めいあん
to continue/to keep up,続ける/つづける
rough (estimate - manner - etc.)/crude,大雑把/大ざっぱ/おおざっぱ
mode of life/ecology,生態/せいたい
character (of a person)/personality,性格/せいかく
each/respectively,夫れ夫れ/其れ其れ/夫々/夫夫/其々/其其/それぞれ
elliptical shape,楕円形/だ円形/だえんけい
European pear (Pyrus communis),洋梨/洋なし/洋ナシ/ようなし
to wring (towel - rag)/to squeeze,絞る/搾る/しぼる
departure,出発/しゅっぱつ
moving forward (e.g. vehicle)/onward movement,進行/しんこう
subtle/delicate,微妙/びみょう
muscle/tendon,筋/条/すじ
to distinguish/to recognize,見分ける/見わける/みわける
to throw away/to cast away,捨てる/棄てる/すてる
to flash (e.g. lightning)/to flicker,閃く/閃く/ひらめく
neurasthenia/nervous breakdown,神経衰弱/しんけいすいじゃく
resistance/opposition,抵抗/ていこう
price/cost,値段/直段/ねだん
at once/immediately,早速/さっそく
to attempt/to test,試す/験す/ためす
distinction/differentiation,区別/區別/くべつ
one breath/time of one breath,一息/ひといき
to swell/to rise,盛り上がる/盛りあがる/盛り上る/盛上がる/盛上る/もりあがる
line/stripe,線/せん
trend/tendency,動向/どうこう
cool/stylish,イケてる/イケてる
grateful/thankful,有難い/有り難い/ありがたい
arrival,到着/とうちゃく
