absurd/unreasonable,無茶/無茶/むちゃ
to be shy/to be bashful,照れる/てれる
to chase about/to hang on,追い回す/追いまわす/追回す/おいまわす
to corner/to drive to the wall,追い詰める/追いつめる/おいつめる
equally/thoroughly,満遍なく/万遍無く/万遍なく/満遍無く/まんべんなく
unable to tell apart,区別がつかない/区別が付かない/くべつがつかない
to memorize/to memorise,覚える/憶える/おぼえる
theory/reason,理屈/理窟/りくつ
lonely/lonesome,寂しい/寂しい/淋しい/淋しい/さびしい
easy/simple,訳無い/訳ない/わけない
bustling/busy,賑やか/にぎやか
to whisper/to murmur,囁く/私語く/ささやく
traditional Japanese restaurant (esp. a luxurious one),料亭/りょうてい
proprietress (of a traditional Japanese inn or restaurant)/landlady,女将/女将/女将/おかみ
name plate/name tag,名札/なふだ
breast/chest,胸元/胸もと/胸許/むなもと
to give one's name (as)/to introduce oneself (as),名乗る/名のる/名告る/なのる
prize/award,賞/しょう
even,さえも/さえも
to succeed/to relieve,替わる/代わる/換わる/替る/代る/換る/かわる
now that you mention it/come to think of it,そう言えば/そういえば
tactics/strategy,作戦/策戦/さくせん
happy/glad,嬉しい/うれしい
to connect/to correlate,関連付ける/関連づける/かんれんづける
exchange/interchange,交換/こうかん
to calm down/to compose oneself,落ち着く/落ちつく/落着く/落ち付く/落付く/おちつく
speaking of/(I told you) already,てば/てば
