spare time/free time,暇/閑/暇/遑/ひま
coolness/calmness,平気/へいき
trial manufacture/experiment,試作/しさく
model/type (e.g. of machine - goods - etc.),型/型/かた
to cool (from room temperature)/to chill,冷やす/冷す/ひやす
sampling food/tasting,試食/ししょく
embarrassed/awkward,間が悪い/まがわるい
motionlessly (e.g. stand - wait)/(be) still,凝乎と/凝乎と/じっと
caretaker (at a zoo or aquarium)/keeper,飼育員/しいくいん
shoulder width (breadth),肩幅/かたはば
introduction/presentation,紹介/しょうかい
healing/soothing,癒し/癒やし/いやし
holiday/day off,休日/きゅうじつ
smell and taste/flavour,香味/こうみ
lunch/noon,お昼/御昼/おひる
to give (someone) a treat/to be extravagant,奢る/傲る/驕る/おごる
end/finish,切り/限り/切/限/きり
certainly!,畏まりました/かしこまりました
addition/supplement,追加/ついか
performance (of a duty)/fulfillment (of a promise),履行/りこう
swiftly/rapidly,急に/きゅうに
to shorten/to reduce,縮める/ちぢめる
true seal (animal)/earless seal,海豹/海豹/あざらし/アザラシ
to be caught/to be arrested,捕まる/掴まる/捉まる/摑まる/つかまる
walrus,海象/海馬/海象/せいうち
figure/body shape,体型/体形/たいけい
surprise attack/surprise visit,不意打ち/不意討ち/ふいうち
simultaneously striking one another (in kendo - etc.)/draw,相打ち/相撃ち/相討ち/あいうち
to be worried/to be troubled,悩む/なやむ
(poor) treatment/(bad) behavior,仕打ち/しうち
on good terms with/on cordial terms with,仲良く/仲よく/仲好く/なかよく
sexy/popular,持て持て/もてもて
heartening/reassuring,心強い/こころづよい
seasoning/flavour,味付け/味着け/味つけ/あじつけ
increasingly/more and more,益々/増々/益益/増す増す/増増/益/ますます
to gaze long at,見続ける/みつづける
email with attached photos sent from a mobile phone/photo taken with a mobile phone,写メ/しゃメ
mass recruitment,大募集/だいぼしゅう
(sense of) cleanliness/(sense of) freshness,清潔感/せいけつかん
meagre/meager,細やか/ささやか
consideration (for)/thoughtfulness,心遣い/心づかい/心使い/心遺い/こころづかい
to excel/to surpass,勝る/優る/まさる
to make (the best) use of/to put to good use,生かす/活かす/いかす
should/must,可き/べき
to glare at/to scowl at,睨む/にらむ
regretful/sorrowful,痛恨/つうこん
mistake/error,ミス/ミス
merit/virtue,良さ/よさ
