(what) the heck/(why) in the world,一体/いったい
neighborhood/neighbourhood,町内/ちょうない
leading a meeting/presiding over a meeting,司会/しかい
management/administration,運営/うんえい
last year,去年/去年/きょねん
poor (at)/weak (in),苦手/にがて
current year (fiscal - academic - etc.),本年度/ほんねんど
going up in flames/destruction by fire (esp. of a large building),炎上/えんじょう
preparation/arrangements,支度/仕度/したく
tool/means,具/ぐ
walnut (Juglans spp. - esp. Juglans regia),胡桃/くるみ
to lean (to one side)/to incline,偏る/片寄る/かたよる
thank you/thanks,どうも/どうも
breeding/raising,飼育/しいく
aid/assistance,応援/おうえん
game/match,競技/きょうぎ
(stage) appearance/performance,出場/しゅつじょう
meeting up/gathering,集合/しゅうごう
foot race,徒競走/ときょうそう
prince/subordinate Kumano shrine,王子/おうじ
first place/first rank,一位/１位/いちい
second place,二位/２位/にい
to aim at (for - to do - to become)/to try for,目指す/目差す/目ざす/めざす
true seal (animal)/earless seal,海豹/海豹/あざらし
eating/bite (in fishing),食い/くい
participant/entrant,参加者/さんかしゃ
suspension/stoppage,中止/ちゅうし
ant,蟻/あり
borrowed thing,借り物/借物/かりもの
competition/contest,競争/きょうそう
participants/participating athletes,出場者/しゅつじょうしゃ
finally/at last,漸く/ようやく
yellow/high-pitched (voice),黄色い/黄いろい/きいろい
explanation/commentary,解説/かいせつ
wood-free paper/woodfree paper,上質紙/じょうしつし
understanding/comprehension,理解/りかい
haniwa/hollow unglazed terracotta figure from the Kofun period,埴輪/はにわ
three-legged race/cooperation with singleness of purpose (e.g. between companies),二人三脚/ににんさんきゃく
lottery/drawn lot,くじ引き/籤引き/籤引/くじびき
victory or defeat/match,勝負/しょうぶ
to hand over/to transfer,譲る/ゆずる
goddamn idiot/moron,馬鹿野郎/馬鹿やろう/ばか野郎/バカ野郎/ばかやろう
blessing,祝福/しゅくふく
storm/tempest,嵐/あらし
foot race,徒競走/ときょうそう
shame/embarrassment,恥/辱/羞/耻/恥じ/辱/はじ
to write and throw away/to write carelessly,書き捨てる/かきすてる
canal,堀川/ほりかわ
conservative,保守的/ほしゅてき
deliberately/carefully,じっくり/じっくり
only/nothing but,のみ/のみ
