to threaten/to menace,脅かす/嚇かす/威かす/おどかす
to be upset/to lose one's composure,取り乱す/取乱す/とりみだす
light bulb/Incandescent light bulb,電球/でんきゅう
to break/to snap,切れる/きれる
swap/exchange,取り替え/取替/とりかえ
expressly/especially,態々/態態/わざわざ
time/labour,手間/てま
drainspout/rain gutter,雨樋/雨どい/あまどい
wait-and-see (situation - stance - etc.)/waiting to see (how things play out),様子見/ようすみ
report/information,報告/ほうこく
king/monarch,王者/王者/おうじゃ
to be afraid of/to fear,怖がる/恐がる/こわがる
rice gruel containing vegetables - fish - etc. - and seasoned with miso or soy sauce,おじや/おじや
Shinto shrine,神社/神社/じんじゃ
wise person/sage,賢者/賢者/けんじゃ
billionaire/multimillionaire,億万長者/おくまんちょうじゃ
above ground/on the ground,地上/ちじょう
biggest/greatest,最大/さいだい
carnivore/carnivorous animal,肉食獣/にくしょくじゅう
(foot) race/sprint,駆けっこ/かけっこ
sly/cunning,狡い/狡い/ずるい
everybody/every last one of them,何奴も此奴も/どいつもこいつも
to go mad/to lose one's mind,狂う/くるう
autumn - season of good appetite,食欲の秋/しょくよくのあき
fruit of a tree/nut,木の実/木の実/木のみ/木のみ/このみ
occasionally/once in a while,偶に/適に/たまに
walrus (Odobenus rosmarus)/elephant seal (Mirounga spp.),海象/海馬/海象/せいうち
whale (Cetacea spp.)/Whale,鯨/くじら
to take/to pick up,取る/とる
intently/single-mindedly,只管/一向/頓/ひたすら
stew/hodgepodge,煮込み/にこみ
short temper/quick temper,短気/たんき
childhood friend/friend from infancy,幼なじみ/幼なじみ/幼馴染み/幼馴染み/幼馴染/幼馴染/おさななじみ
(approximate) time/around,頃/頃/比/比/ころ
what is called/as it is called,所謂/いわゆる
(undesirable but) inseparable relationship,腐れ縁/くされ縁/くされえん
evening/dusk,夕方/夕がた/ゆうがた
skillful/skilful,上手い/美味い/旨い/巧い/甘い/美い/うまい
if/in case,若し/もし
to be born again/to make a fresh start in life,生まれ変わる/うまれかわる
explosion/detonation,爆発/ばくはつ
